 f    	 m    	new-m	diff
1835	3	3	
1835	4	4	
1835	5	5	
1835	6	6	
1835	7	7	
1835	8	8	
1836	1	1	
1837	1	1	
1837	2	2	
1839	1	1	
1840	1	1	
1840	2	2	
1840	3	3	
1841	1	1	
1841	4	2	update income set mem_id=2 where fs_id=1841 and mem_id=4;
1842	1	1	
1842	2	2	
1842	3	3	
1843	1	1	
1843	3	2	update income set mem_id=2 where fs_id=1843 and mem_id=3;
1844	1	1	
1844	2	2	
1844	3	3	
1845	1	1	
1845	2	2	
1845	3	3	
1846	1	1	
1846	2	2	
1846	3	3	
1847	1	1	
1847	2	2	
1847	3	3	
1848	1	1	
1849	1	1	
1850	1	1	
1851	1	1	
1851	2	2	
1852	1	1	
1852	2	2	
1853	1	1	
1853	2	2	
1854	1	1	
1854	2	2	
1855	1	1	
1857	1	1	
1858	1	1	
1858	2	2	
1859	1	1	
1859	2	2	
1860	1	1	
1860	2	2	
1861	1	1	
1861	2	2	
1862	1	1	
1863	1	1	
1863	2	2	
1863	3	3	
1864	1	1	
1864	2	2	
1864	3	3	
1865	1	1	
1865	2	2	
1866	1	1	
1866	2	2	
1866	3	3	
1866	4	4	
1868	1	1	
1871	1	1	
1872	1	1	
1872	4	2	update income set mem_id=2 where fs_id=1872 and mem_id=4;
1873	1	1	
1873	2	2	
1874	1	1	
1875	1	1	
1875	2	2	
1875	3	3	
1875	4	4	
1876	1	1	
1876	2	2	
1876	3	3	
1879	1	1	
1879	2	2	
1880	1	1	
1880	2	2	
1880	3	3	
1881	1	1	
1881	2	2	
1881	3	3	
1882	1	1	
1882	2	2	
1883	1	1	
1883	2	2	
1884	1	1	
1884	2	2	
1886	1	1	
1886	6	2	update income set mem_id=2 where fs_id=1886 and mem_id=6;
1888	1	1	
1888	2	2	
1889	1	1	
1889	2	2	
1890	1	1	
1891	1	1	
1891	2	2	
1893	1	1	
1894	1	1	
1895	1	1	
1896	1	1	
1896	3	2	update income set mem_id=2 where fs_id=1896 and mem_id=3;
1897	1	1	
1897	2	2	
1898	1	1	
1898	2	2	
1899	1	1	
1900	1	1	
1900	3	2	update income set mem_id=2 where fs_id=1900 and mem_id=3;
1901	1	1	
1901	2	2	
1902	1	1	
1902	2	2	
1902	3	3	
1902	4	4	
1902	5	5	
1902	6	6	
1903	1	1	
1903	2	2	
1904	1	1	
1904	2	2	
1905	1	1	
1905	9	2	update income set mem_id=2 where fs_id=1905 and mem_id=9;
1906	1	1	
1906	2	2	
1906	3	3	
1906	4	4	
1907	1	1	
1908	1	1	
1908	2	2	
1910	1	1	
1910	2	2	
1910	3	3	
1911	1	1	
1911	2	2	
1911	3	3	
1913	1	1	
1913	2	2	
1913	3	3	
1914	1	1	
1915	1	1	
1915	2	2	
1915	3	3	
1915	4	4	
1915	5	5	
1915	6	6	
1915	7	7	
1917	1	1	
1918	1	1	
1918	3	2	update income set mem_id=2 where fs_id=1918 and mem_id=3;
1918	4	3	update income set mem_id=3 where fs_id=1918 and mem_id=4;
1918	5	4	update income set mem_id=4 where fs_id=1918 and mem_id=5;
1919	1	1	
1920	1	1	
1920	2	2	
1920	3	3	
1920	4	4	
1922	1	1	
1922	2	2	
1922	3	3	
1922	4	4	
1922	10	5	update income set mem_id=5 where fs_id=1922 and mem_id=10;
1923	1	1	
1923	2	2	
1923	3	3	
1923	4	4	
1923	7	5	update income set mem_id=5 where fs_id=1923 and mem_id=7;
1924	1	1	
1924	2	2	
1924	5	3	update income set mem_id=3 where fs_id=1924 and mem_id=5;
1924	6	4	update income set mem_id=4 where fs_id=1924 and mem_id=6;
1924	10	5	update income set mem_id=5 where fs_id=1924 and mem_id=10;
1925	1	1	
1925	2	2	
1925	3	3	
1926	1	1	
1927	1	1	
1927	2	2	
1927	3	3	
1927	8	4	update income set mem_id=4 where fs_id=1927 and mem_id=8;
1927	9	5	update income set mem_id=5 where fs_id=1927 and mem_id=9;
1928	1	1	
1928	2	2	
1928	3	3	
1928	10	4	update income set mem_id=4 where fs_id=1928 and mem_id=10;
1930	1	1	
1930	2	2	
1931	1	1	
1931	2	2	
1931	3	3	
1931	4	4	
1931	5	5	
1931	8	6	update income set mem_id=6 where fs_id=1931 and mem_id=8;
1931	9	7	update income set mem_id=7 where fs_id=1931 and mem_id=9;
1933	1	1	
1933	2	2	
1933	3	3	
1934	1	1	
1934	2	2	
1936	1	1	
1937	1	1	
1937	2	2	
1938	1	1	
1938	3	2	update income set mem_id=2 where fs_id=1938 and mem_id=3;
1938	6	3	update income set mem_id=3 where fs_id=1938 and mem_id=6;
1938	7	4	update income set mem_id=4 where fs_id=1938 and mem_id=7;
1938	12	5	update income set mem_id=5 where fs_id=1938 and mem_id=12;
1939	1	1	
1939	2	2	
1941	1	1	
1941	2	2	
1942	1	1	
1942	2	2	
1943	1	1	
1944	1	1	
1944	3	2	update income set mem_id=2 where fs_id=1944 and mem_id=3;
1944	4	3	update income set mem_id=3 where fs_id=1944 and mem_id=4;
1945	1	1	
1945	3	2	update income set mem_id=2 where fs_id=1945 and mem_id=3;
1945	4	3	update income set mem_id=3 where fs_id=1945 and mem_id=4;
1947	1	1	
1947	2	2	
1948	1	1	
1948	2	2	
1949	1	1	
1949	3	2	update income set mem_id=2 where fs_id=1949 and mem_id=3;
1949	4	3	update income set mem_id=3 where fs_id=1949 and mem_id=4;
1951	1	1	
1951	2	2	
1951	3	3	
1951	4	4	
1952	1	1	
1952	2	2	
1952	3	3	
1952	6	4	update income set mem_id=4 where fs_id=1952 and mem_id=6;
1953	1	1	
1953	2	2	
1954	1	1	
1954	2	2	
1954	3	3	
1955	1	1	
1955	2	2	
1956	1	1	
1956	2	2	
1956	3	3	
1957	1	1	
1957	2	2	
1957	3	3	
1958	1	1	
1958	2	2	
1959	1	1	
1959	2	2	
1960	1	1	
1960	2	2	
1960	3	3	
1961	1	1	
1961	2	2	
1961	3	3	
1962	1	1	
1962	2	2	
1963	1	1	
1963	2	2	
1963	3	3	
1964	1	1	
1964	2	2	
1964	3	3	
1966	1	1	
1966	3	2	update income set mem_id=2 where fs_id=1966 and mem_id=3;
1967	1	1	
1967	2	2	
1967	3	3	
1969	1	1	
1969	2	2	
1969	3	3	
1970	1	1	
1970	2	2	
1970	3	3	
1971	1	1	
1971	2	2	
1971	3	3	
1971	4	4	
1972	1	1	
1972	2	2	
1972	3	3	
1972	4	4	
1973	1	1	
1974	1	1	
1974	2	2	
1975	1	1	
1975	2	2	
1976	1	1	
1976	2	2	
1978	1	1	
1978	2	2	
1979	1	1	
1980	1	1	
1980	3	2	update income set mem_id=2 where fs_id=1980 and mem_id=3;
1980	5	3	update income set mem_id=3 where fs_id=1980 and mem_id=5;
1981	1	1	
1981	2	2	
1983	1	1	
1983	2	2	
1984	1	1	
1984	2	2	
1985	1	1	
1985	2	2	
1986	1	1	
1986	2	2	
1986	3	3	
1987	1	1	
1987	2	2	
1988	1	1	
1988	2	2	
1990	1	1	
1991	1	1	
1991	2	2	
1992	1	1	
1992	2	2	
1993	1	1	
1993	2	2	
1994	1	1	
1994	2	2	
1994	3	3	
1995	1	1	
1995	2	2	
1996	1	1	
1996	2	2	
1996	3	3	
1999	1	1	
1999	3	2	update income set mem_id=2 where fs_id=1999 and mem_id=3;
1999	6	3	update income set mem_id=3 where fs_id=1999 and mem_id=6;
2000	1	1	
2000	2	2	
2000	6	3	update income set mem_id=3 where fs_id=2000 and mem_id=6;
2001	1	1	
2001	2	2	
2001	3	3	
2001	4	4	
2004	1	1	
2004	3	2	update income set mem_id=2 where fs_id=2004 and mem_id=3;
2004	5	3	update income set mem_id=3 where fs_id=2004 and mem_id=5;
2004	6	4	update income set mem_id=4 where fs_id=2004 and mem_id=6;
2004	7	5	update income set mem_id=5 where fs_id=2004 and mem_id=7;
2004	8	6	update income set mem_id=6 where fs_id=2004 and mem_id=8;
2005	1	1	
2005	2	2	
2005	3	3	
2006	1	1	
2006	3	2	update income set mem_id=2 where fs_id=2006 and mem_id=3;
2006	6	3	update income set mem_id=3 where fs_id=2006 and mem_id=6;
2006	7	4	update income set mem_id=4 where fs_id=2006 and mem_id=7;
2007	1	1	
2007	2	2	
2009	1	1	
2009	2	2	
2009	3	3	
2009	4	4	
2009	5	5	
2009	6	6	
2010	1	1	
2010	2	2	
2011	1	1	
2011	2	2	
2012	1	1	
2012	3	2	update income set mem_id=2 where fs_id=2012 and mem_id=3;
2012	4	3	update income set mem_id=3 where fs_id=2012 and mem_id=4;
2013	1	1	
2014	1	1	
2014	2	2	
2014	3	3	
2014	4	4	
2014	5	5	
2015	1	1	
2015	2	2	
2015	7	3	update income set mem_id=3 where fs_id=2015 and mem_id=7;
2017	1	1	
2017	2	2	
2018	1	1	
2019	1	1	
2019	2	2	
2019	3	3	
2019	4	4	
2020	1	1	
2020	2	2	
2022	1	1	
2022	2	2	
2022	3	3	
2023	1	1	
2023	2	2	
2024	1	1	
2024	2	2	
2026	1	1	
2026	2	2	
2027	1	1	
2027	2	2	
2027	3	3	
2028	1	1	
2028	3	2	update income set mem_id=2 where fs_id=2028 and mem_id=3;
2028	4	3	update income set mem_id=3 where fs_id=2028 and mem_id=4;
2029	1	1	
2029	2	2	
2029	3	3	
2030	1	1	
2030	2	2	
2030	3	3	
2031	1	1	
2031	2	2	
2032	1	1	
2033	1	1	
2033	2	2	
2036	1	1	
2036	2	2	
2037	1	1	
2038	1	1	
2038	2	2	
2038	4	3	update income set mem_id=3 where fs_id=2038 and mem_id=4;
2039	1	1	
2039	2	2	
2040	1	1	
2040	2	2	
2040	3	3	
2052	1	1	
2052	2	2	
2053	1	1	
2053	2	2	
2053	3	3	
2053	4	4	
2054	1	1	
2054	2	2	
2054	3	3	
2054	4	4	
2054	5	5	
2055	1	1	
2055	2	2	
2056	1	1	
2056	2	2	
2056	3	3	
2057	1	1	
2057	2	2	
2057	3	3	
2058	1	1	
2058	2	2	
2058	3	3	
2058	4	4	
2059	1	1	
2059	2	2	
2059	3	3	
2060	1	1	
2060	2	2	
2060	3	3	
2060	4	4	
2061	1	1	
2061	2	2	
2061	3	3	
2062	1	1	
2062	2	2	
2062	3	3	
2062	13	4	update income set mem_id=4 where fs_id=2062 and mem_id=13;
2063	1	1	
2064	1	1	
2064	2	2	
2065	1	1	
2065	3	2	update income set mem_id=2 where fs_id=2065 and mem_id=3;
2066	1	1	
2066	2	2	
2067	1	1	
2067	2	2	
2067	4	3	update income set mem_id=3 where fs_id=2067 and mem_id=4;
2068	1	1	
2068	2	2	
2069	1	1	
2069	3	2	update income set mem_id=2 where fs_id=2069 and mem_id=3;
2070	1	1	
2070	2	2	
2072	1	1	
2073	1	1	
2073	12	2	update income set mem_id=2 where fs_id=2073 and mem_id=12;
2073	13	3	update income set mem_id=3 where fs_id=2073 and mem_id=13;
2073	19	4	update income set mem_id=4 where fs_id=2073 and mem_id=19;
2073	21	5	update income set mem_id=5 where fs_id=2073 and mem_id=21;
2074	1	1	
2074	2	2	
2074	3	3	
2074	6	4	update income set mem_id=4 where fs_id=2074 and mem_id=6;
2074	7	5	update income set mem_id=5 where fs_id=2074 and mem_id=7;
2075	1	1	
2075	2	2	
2075	3	3	
2075	4	4	
2076	1	1	
2076	3	2	update income set mem_id=2 where fs_id=2076 and mem_id=3;
2076	4	3	update income set mem_id=3 where fs_id=2076 and mem_id=4;
2076	5	4	update income set mem_id=4 where fs_id=2076 and mem_id=5;
2076	6	5	update income set mem_id=5 where fs_id=2076 and mem_id=6;
2076	7	6	update income set mem_id=6 where fs_id=2076 and mem_id=7;
2077	1	1	
2077	2	2	
2078	1	1	
2078	2	2	
2079	1	1	
2079	11	2	update income set mem_id=2 where fs_id=2079 and mem_id=11;
2080	1	1	
2081	1	1	
2082	1	1	
2082	2	2	
2082	3	3	
2083	1	1	
2084	1	1	
2084	2	2	
2084	3	3	
2085	1	1	
2085	2	2	
2085	3	3	
2086	1	1	
2086	2	2	
2086	3	3	
2086	6	4	update income set mem_id=4 where fs_id=2086 and mem_id=6;
2087	1	1	
2087	2	2	
2087	3	3	
2088	1	1	
2088	2	2	
2089	1	1	
2089	3	2	update income set mem_id=2 where fs_id=2089 and mem_id=3;
2090	1	1	
2090	6	2	update income set mem_id=2 where fs_id=2090 and mem_id=6;
2090	7	3	update income set mem_id=3 where fs_id=2090 and mem_id=7;
2091	1	1	
2091	2	2	
2091	3	3	
2092	1	1	
2093	1	1	
2093	2	2	
2094	1	1	
2094	2	2	
2094	3	3	
2094	4	4	
2095	1	1	
2095	2	2	
2095	3	3	
2096	1	1	
2096	2	2	
2096	3	3	
2097	1	1	
2097	2	2	
2097	3	3	
2098	1	1	
2098	3	2	update income set mem_id=2 where fs_id=2098 and mem_id=3;
2098	12	3	update income set mem_id=3 where fs_id=2098 and mem_id=12;
2098	13	4	update income set mem_id=4 where fs_id=2098 and mem_id=13;
2099	1	1	
2099	2	2	
2099	5	3	update income set mem_id=3 where fs_id=2099 and mem_id=5;
2099	7	4	update income set mem_id=4 where fs_id=2099 and mem_id=7;
2100	1	1	
2100	2	2	
2100	3	3	
2100	4	4	
2101	1	1	
2101	2	2	
2101	3	3	
2102	1	1	
2102	2	2	
2102	11	3	update income set mem_id=3 where fs_id=2102 and mem_id=11;
2102	12	4	update income set mem_id=4 where fs_id=2102 and mem_id=12;
2104	1	1	
2104	2	2	
2104	3	3	
2105	1	1	
2105	2	2	
2106	1	1	
2107	1	1	
2107	2	2	
2107	3	3	
2107	4	4	
2107	5	5	
2107	6	6	
2107	7	7	
2107	8	8	
2107	9	9	
2107	10	10	
2107	11	11	
2107	12	12	
2107	13	13	
2108	1	1	
2108	2	2	
2108	3	3	
2108	4	4	
2108	5	5	
2108	6	6	
2109	1	1	
2110	1	1	
2110	2	2	
2110	3	3	
2110	4	4	
2110	6	5	update income set mem_id=5 where fs_id=2110 and mem_id=6;
2110	7	6	update income set mem_id=6 where fs_id=2110 and mem_id=7;
2112	1	1	
2112	2	2	
2112	3	3	
2113	1	1	
2113	2	2	
2113	3	3	
2113	8	4	update income set mem_id=4 where fs_id=2113 and mem_id=8;
2114	1	1	
2114	2	2	
2115	1	1	
2115	2	2	
2118	1	1	
2119	1	1	
2120	1	1	
2121	1	1	
2122	1	1	
2122	3	2	update income set mem_id=2 where fs_id=2122 and mem_id=3;
2122	8	3	update income set mem_id=3 where fs_id=2122 and mem_id=8;
2123	1	1	
2125	1	1	
2126	1	1	
2126	2	2	
2126	3	3	
2126	4	4	
2127	1	1	
2127	2	2	
2127	3	3	
2127	5	4	update income set mem_id=4 where fs_id=2127 and mem_id=5;
2128	1	1	
2128	2	2	
2128	3	3	
2129	1	1	
2129	2	2	
2129	3	3	
2130	1	1	
2130	2	2	
2130	4	3	update income set mem_id=3 where fs_id=2130 and mem_id=4;
2131	1	1	
2131	2	2	
2131	3	3	
2133	1	1	
2133	2	2	
2133	3	3	
2133	4	4	
2133	5	5	
2133	6	6	
2133	11	7	update income set mem_id=7 where fs_id=2133 and mem_id=11;
2133	12	8	update income set mem_id=8 where fs_id=2133 and mem_id=12;
2133	15	9	update income set mem_id=9 where fs_id=2133 and mem_id=15;
2134	1	1	
2134	2	2	
2134	3	3	
2135	1	1	
2135	2	2	
2136	1	1	
2136	2	2	
2136	3	3	
2136	4	4	
2136	5	5	
2137	1	1	
2137	3	2	update income set mem_id=2 where fs_id=2137 and mem_id=3;
2138	1	1	
2139	1	1	
2139	2	2	
2140	1	1	
2141	1	1	
2141	2	2	
2141	3	3	
2141	9	4	update income set mem_id=4 where fs_id=2141 and mem_id=9;
2141	10	5	update income set mem_id=5 where fs_id=2141 and mem_id=10;
2142	1	1	
2143	1	1	
2144	1	1	
2144	2	2	
2145	1	1	
2145	2	2	
2146	1	1	
2146	2	2	
2146	3	3	
2147	1	1	
2147	2	2	
2148	1	1	
2148	2	2	
2150	1	1	
2151	1	1	
2151	2	2	
2153	1	1	
2153	2	2	
2154	1	1	
2154	3	2	update income set mem_id=2 where fs_id=2154 and mem_id=3;
2154	4	3	update income set mem_id=3 where fs_id=2154 and mem_id=4;
2154	8	4	update income set mem_id=4 where fs_id=2154 and mem_id=8;
2154	10	5	update income set mem_id=5 where fs_id=2154 and mem_id=10;
2154	11	6	update income set mem_id=6 where fs_id=2154 and mem_id=11;
2154	15	7	update income set mem_id=7 where fs_id=2154 and mem_id=15;
2155	1	1	
2155	2	2	
2155	3	3	
2155	13	4	update income set mem_id=4 where fs_id=2155 and mem_id=13;
2158	1	1	
2158	3	2	update income set mem_id=2 where fs_id=2158 and mem_id=3;
2163	1	1	
2164	1	1	
2164	2	2	
2164	3	3	
2167	1	1	
2167	4	2	update income set mem_id=2 where fs_id=2167 and mem_id=4;
2167	5	3	update income set mem_id=3 where fs_id=2167 and mem_id=5;
2168	1	1	
2168	2	2	
2169	1	1	
2169	3	2	update income set mem_id=2 where fs_id=2169 and mem_id=3;
2169	7	3	update income set mem_id=3 where fs_id=2169 and mem_id=7;
2170	1	1	
2170	2	2	
2170	3	3	
2172	1	1	
2172	2	2	
2172	3	3	
2172	6	4	update income set mem_id=4 where fs_id=2172 and mem_id=6;
2173	1	1	
2173	2	2	
2177	1	1	
2177	2	2	
2178	1	1	
2178	2	2	
2178	3	3	
2178	4	4	
2178	5	5	
2179	1	1	
2179	3	2	update income set mem_id=2 where fs_id=2179 and mem_id=3;
2179	4	3	update income set mem_id=3 where fs_id=2179 and mem_id=4;
2180	1	1	
2180	2	2	
2181	1	1	
2181	2	2	
2182	1	1	
2182	2	2	
2182	3	3	
2183	1	1	
2184	1	1	
2185	1	1	
2185	2	2	
2185	3	3	
2186	1	1	
2186	2	2	
2186	3	3	
2187	1	1	
2187	2	2	
2188	1	1	
2188	2	2	
2189	1	1	
2190	1	1	
2190	2	2	
2191	1	1	
2191	2	2	
2192	1	1	
2192	2	2	
2193	1	1	
2194	1	1	
2194	2	2	
2195	1	1	
2195	2	2	
2195	3	3	
2195	4	4	
2195	5	5	
2196	1	1	
2196	2	2	
2196	3	3	
2196	4	4	
2197	1	1	
2197	2	2	
2197	3	3	
2197	4	4	
2198	1	1	
2198	2	2	
2198	3	3	
2200	1	1	
2200	2	2	
2200	3	3	
2200	4	4	
2202	1	1	
2203	1	1	
2203	2	2	
2204	1	1	
2204	2	2	
2205	1	1	
2205	2	2	
2206	1	1	
2208	1	1	
2209	1	1	
2210	1	1	
2210	2	2	
2210	3	3	
2211	1	1	
2212	1	1	
2213	1	1	
2213	2	2	
2215	1	1	
2215	2	2	
2216	1	1	
2216	2	2	
2217	1	1	
2217	2	2	
2217	3	3	
2218	1	1	
2218	2	2	
2220	1	1	
2220	2	2	
2220	3	3	
2221	1	1	
2221	2	2	
2223	1	1	
2223	2	2	
2224	1	1	
2224	2	2	
2224	3	3	
2224	4	4	
2225	1	1	
2225	2	2	
2227	1	1	
2227	2	2	
2228	1	1	
2229	1	1	
2229	2	2	
2229	3	3	
2230	1	1	
2230	2	2	
2230	3	3	
2233	1	1	
2233	2	2	
2233	3	3	
2234	1	1	
2234	2	2	
2235	1	1	
2235	2	2	
2235	3	3	
2235	5	4	update income set mem_id=4 where fs_id=2235 and mem_id=5;
2235	6	5	update income set mem_id=5 where fs_id=2235 and mem_id=6;
2236	1	1	
2236	2	2	
2236	3	3	
2238	1	1	
2238	2	2	
2238	3	3	
2238	4	4	
2241	1	1	
2241	2	2	
2242	1	1	
2242	2	2	
2242	3	3	
2243	1	1	
2243	2	2	
2243	3	3	
2243	4	4	
2243	5	5	
2243	6	6	
2244	1	1	
2244	2	2	
2244	3	3	
2244	5	4	update income set mem_id=4 where fs_id=2244 and mem_id=5;
2244	6	5	update income set mem_id=5 where fs_id=2244 and mem_id=6;
2244	7	6	update income set mem_id=6 where fs_id=2244 and mem_id=7;
2245	1	1	
2245	2	2	
2245	3	3	
2245	4	4	
2245	5	5	
2245	6	6	
2245	7	7	
2245	9	8	update income set mem_id=8 where fs_id=2245 and mem_id=9;
2245	10	9	update income set mem_id=9 where fs_id=2245 and mem_id=10;
2245	11	10	update income set mem_id=10 where fs_id=2245 and mem_id=11;
2245	12	11	update income set mem_id=11 where fs_id=2245 and mem_id=12;
2245	13	12	update income set mem_id=12 where fs_id=2245 and mem_id=13;
2245	15	13	update income set mem_id=13 where fs_id=2245 and mem_id=15;
2246	1	1	
2246	2	2	
2246	3	3	
2247	1	1	
2247	2	2	
2247	3	3	
2247	6	4	update income set mem_id=4 where fs_id=2247 and mem_id=6;
2247	7	5	update income set mem_id=5 where fs_id=2247 and mem_id=7;
2248	1	1	
2248	2	2	
2248	3	3	
2249	1	1	
2249	2	2	
2249	3	3	
2250	1	1	
2250	2	2	
2250	3	3	
2250	5	4	update income set mem_id=4 where fs_id=2250 and mem_id=5;
2250	6	5	update income set mem_id=5 where fs_id=2250 and mem_id=6;
2250	7	6	update income set mem_id=6 where fs_id=2250 and mem_id=7;
2250	8	7	update income set mem_id=7 where fs_id=2250 and mem_id=8;
2251	1	1	
2251	2	2	
2251	3	3	
2251	4	4	
2252	1	1	
2252	2	2	
2252	3	3	
2252	4	4	
2254	1	1	
2254	2	2	
2254	3	3	
2254	4	4	
2254	5	5	
2255	1	1	
2255	2	2	
2255	3	3	
2255	4	4	
2255	6	5	update income set mem_id=5 where fs_id=2255 and mem_id=6;
2256	1	1	
2257	1	1	
2258	1	1	
2259	1	1	
2259	3	2	update income set mem_id=2 where fs_id=2259 and mem_id=3;
2260	1	1	
2260	2	2	
2260	3	3	
2262	1	1	
2262	3	2	update income set mem_id=2 where fs_id=2262 and mem_id=3;
2263	1	1	
2263	3	2	update income set mem_id=2 where fs_id=2263 and mem_id=3;
2263	9	3	update income set mem_id=3 where fs_id=2263 and mem_id=9;
2263	10	4	update income set mem_id=4 where fs_id=2263 and mem_id=10;
2263	11	5	update income set mem_id=5 where fs_id=2263 and mem_id=11;
2264	1	1	
2264	3	2	update income set mem_id=2 where fs_id=2264 and mem_id=3;
2264	4	3	update income set mem_id=3 where fs_id=2264 and mem_id=4;
2264	5	4	update income set mem_id=4 where fs_id=2264 and mem_id=5;
2264	6	5	update income set mem_id=5 where fs_id=2264 and mem_id=6;
2265	1	1	
2265	2	2	
2265	3	3	
2266	1	1	
2266	3	2	update income set mem_id=2 where fs_id=2266 and mem_id=3;
2266	4	3	update income set mem_id=3 where fs_id=2266 and mem_id=4;
2266	5	4	update income set mem_id=4 where fs_id=2266 and mem_id=5;
2266	6	5	update income set mem_id=5 where fs_id=2266 and mem_id=6;
2266	8	6	update income set mem_id=6 where fs_id=2266 and mem_id=8;
2266	14	7	update income set mem_id=7 where fs_id=2266 and mem_id=14;
2268	1	1	
2268	5	2	update income set mem_id=2 where fs_id=2268 and mem_id=5;
2268	9	3	update income set mem_id=3 where fs_id=2268 and mem_id=9;
2269	1	1	
2269	4	2	update income set mem_id=2 where fs_id=2269 and mem_id=4;
2269	5	3	update income set mem_id=3 where fs_id=2269 and mem_id=5;
2269	8	4	update income set mem_id=4 where fs_id=2269 and mem_id=8;
2270	1	1	
2270	2	2	
2270	3	3	
2270	4	4	
2271	1	1	
2271	3	2	update income set mem_id=2 where fs_id=2271 and mem_id=3;
2271	4	3	update income set mem_id=3 where fs_id=2271 and mem_id=4;
2271	5	4	update income set mem_id=4 where fs_id=2271 and mem_id=5;
2271	6	5	update income set mem_id=5 where fs_id=2271 and mem_id=6;
2271	9	6	update income set mem_id=6 where fs_id=2271 and mem_id=9;
2272	1	1	
2272	2	2	
2272	3	3	
2272	4	4	
2272	7	5	update income set mem_id=5 where fs_id=2272 and mem_id=7;
2273	1	1	
2273	2	2	
2273	3	3	
2273	4	4	
2273	5	5	
2273	7	6	update income set mem_id=6 where fs_id=2273 and mem_id=7;
2274	1	1	
2274	3	2	update income set mem_id=2 where fs_id=2274 and mem_id=3;
2274	9	3	update income set mem_id=3 where fs_id=2274 and mem_id=9;
2275	1	1	
2277	1	1	
2277	2	2	
2277	3	3	
2278	1	1	
2279	1	1	
2279	3	2	update income set mem_id=2 where fs_id=2279 and mem_id=3;
2280	1	1	
2280	2	2	
2281	1	1	
2281	3	2	update income set mem_id=2 where fs_id=2281 and mem_id=3;
2282	1	1	
2284	1	1	
2286	1	1	
2286	3	2	update income set mem_id=2 where fs_id=2286 and mem_id=3;
2287	1	1	
2287	3	2	update income set mem_id=2 where fs_id=2287 and mem_id=3;
2288	1	1	
2290	1	1	
2291	1	1	
2292	1	1	
2293	1	1	
2293	2	2	
2294	1	1	
2294	4	2	update income set mem_id=2 where fs_id=2294 and mem_id=4;
2294	5	3	update income set mem_id=3 where fs_id=2294 and mem_id=5;
2294	6	4	update income set mem_id=4 where fs_id=2294 and mem_id=6;
2295	1	1	
2297	1	1	
2297	2	2	
2297	6	3	update income set mem_id=3 where fs_id=2297 and mem_id=6;
2298	1	1	
2298	2	2	
2298	3	3	
2298	4	4	
2298	8	5	update income set mem_id=5 where fs_id=2298 and mem_id=8;
2298	9	6	update income set mem_id=6 where fs_id=2298 and mem_id=9;
2298	10	7	update income set mem_id=7 where fs_id=2298 and mem_id=10;
2299	1	1	
2299	2	2	
2299	11	3	update income set mem_id=3 where fs_id=2299 and mem_id=11;
2300	1	1	
2301	1	1	
2302	1	1	
2302	2	2	
2302	6	3	update income set mem_id=3 where fs_id=2302 and mem_id=6;
2303	1	1	
2305	1	1	
2306	1	1	
2307	1	1	
2307	2	2	
2307	3	3	
2308	1	1	
2308	2	2	
2308	3	3	
2308	4	4	
2308	6	5	update income set mem_id=5 where fs_id=2308 and mem_id=6;
2309	1	1	
2309	2	2	
2309	3	3	
2309	11	4	update income set mem_id=4 where fs_id=2309 and mem_id=11;
2311	1	1	
2311	2	2	
2312	1	1	
2312	2	2	
2312	3	3	
2312	4	4	
2312	6	5	update income set mem_id=5 where fs_id=2312 and mem_id=6;
2313	1	1	
2313	2	2	
2313	3	3	
2314	1	1	
2314	2	2	
2314	3	3	
2314	6	4	update income set mem_id=4 where fs_id=2314 and mem_id=6;
2314	7	5	update income set mem_id=5 where fs_id=2314 and mem_id=7;
2317	1	1	
2317	3	2	update income set mem_id=2 where fs_id=2317 and mem_id=3;
2317	5	3	update income set mem_id=3 where fs_id=2317 and mem_id=5;
2320	1	1	
2320	2	2	
2321	1	1	
2321	3	2	update income set mem_id=2 where fs_id=2321 and mem_id=3;
2321	4	3	update income set mem_id=3 where fs_id=2321 and mem_id=4;
2321	10	4	update income set mem_id=4 where fs_id=2321 and mem_id=10;
2322	1	1	
2323	1	1	
2324	1	1	
2324	2	2	
2324	3	3	
2324	9	4	update income set mem_id=4 where fs_id=2324 and mem_id=9;
2325	1	1	
2325	2	2	
2325	3	3	
2325	4	4	
2326	1	1	
2326	3	2	update income set mem_id=2 where fs_id=2326 and mem_id=3;
2326	7	3	update income set mem_id=3 where fs_id=2326 and mem_id=7;
2326	8	4	update income set mem_id=4 where fs_id=2326 and mem_id=8;
2328	1	1	
2328	2	2	
2330	1	1	
2330	2	2	
2330	3	3	
2332	1	1	
2332	2	2	
2332	3	3	
2332	6	4	update income set mem_id=4 where fs_id=2332 and mem_id=6;
2332	7	5	update income set mem_id=5 where fs_id=2332 and mem_id=7;
2332	8	6	update income set mem_id=6 where fs_id=2332 and mem_id=8;
2332	9	7	update income set mem_id=7 where fs_id=2332 and mem_id=9;
2333	1	1	
2333	2	2	
2333	3	3	
2333	8	4	update income set mem_id=4 where fs_id=2333 and mem_id=8;
2333	9	5	update income set mem_id=5 where fs_id=2333 and mem_id=9;
2335	1	1	
2335	2	2	
2335	3	3	
2335	8	4	update income set mem_id=4 where fs_id=2335 and mem_id=8;
2336	1	1	
2336	2	2	
2336	3	3	
2336	4	4	
2336	5	5	
2336	6	6	
2336	7	7	
2336	8	8	
2337	1	1	
2337	4	2	update income set mem_id=2 where fs_id=2337 and mem_id=4;
