 f    	 m    	new-m	diff
304	3	3	
306	1	1	
306	2	2	
306	3	3	
306	4	4	
308	1	1	
308	2	2	
308	3	3	
309	1	1	
309	2	2	
309	3	3	
310	1	1	
310	2	2	
312	1	1	
312	2	2	
313	1	1	
313	2	2	
313	3	3	
313	4	4	
313	7	5	update income set mem_id=5 where fs_id=313 and mem_id=7;
313	8	6	update income set mem_id=6 where fs_id=313 and mem_id=8;
314	1	1	
314	2	2	
314	3	3	
314	5	4	update income set mem_id=4 where fs_id=314 and mem_id=5;
314	6	5	update income set mem_id=5 where fs_id=314 and mem_id=6;
315	1	1	
315	2	2	
315	3	3	
315	4	4	
316	1	1	
316	2	2	
317	1	1	
317	2	2	
317	3	3	
317	4	4	
318	1	1	
318	2	2	
318	3	3	
318	4	4	
318	5	5	
319	1	1	
319	2	2	
320	1	1	
320	3	2	update income set mem_id=2 where fs_id=320 and mem_id=3;
320	4	3	update income set mem_id=3 where fs_id=320 and mem_id=4;
320	5	4	update income set mem_id=4 where fs_id=320 and mem_id=5;
323	1	1	
324	1	1	
324	2	2	
325	1	1	
325	2	2	
326	1	1	
326	2	2	
327	1	1	
328	1	1	
328	2	2	
329	1	1	
329	2	2	
329	3	3	
329	4	4	
329	5	5	
329	6	6	
329	7	7	
330	1	1	
330	2	2	
330	3	3	
330	4	4	
333	1	1	
333	2	2	
333	3	3	
334	1	1	
335	1	1	
336	1	1	
336	2	2	
336	3	3	
336	4	4	
337	1	1	
337	2	2	
337	3	3	
337	4	4	
337	5	5	
338	1	1	
338	3	2	update income set mem_id=2 where fs_id=338 and mem_id=3;
339	1	1	
339	2	2	
340	1	1	
340	2	2	
341	1	1	
341	2	2	
347	1	1	
348	1	1	
349	1	1	
349	2	2	
351	1	1	
358	1	1	
358	5	2	update income set mem_id=2 where fs_id=358 and mem_id=5;
359	1	1	
360	1	1	
360	2	2	
365	1	1	
366	1	1	
366	2	2	
368	1	1	
368	2	2	
368	3	3	
369	1	1	
369	2	2	
372	1	1	
375	1	1	
375	2	2	
376	1	1	
376	7	2	update income set mem_id=2 where fs_id=376 and mem_id=7;
378	1	1	
380	1	1	
382	1	1	
382	2	2	
382	3	3	
382	4	4	
383	1	1	
383	2	2	
383	3	3	
384	1	1	
384	2	2	
389	1	1	
389	2	2	
389	3	3	
392	1	1	
393	1	1	
393	2	2	
399	1	1	
400	1	1	
400	2	2	
405	1	1	
405	2	2	
409	1	1	
409	2	2	
409	3	3	
409	4	4	
409	5	5	
412	1	1	
414	1	1	
414	2	2	
415	1	1	
415	2	2	
417	1	1	
420	1	1	
420	2	2	
420	3	3	
422	1	1	
423	1	1	
423	2	2	
425	1	1	
425	2	2	
426	1	1	
426	2	2	
429	1	1	
429	2	2	
429	3	3	
430	1	1	
432	1	1	
434	1	1	
436	1	1	
436	2	2	
438	1	1	
438	2	2	
438	3	3	
442	1	1	
442	2	2	
443	1	1	
443	2	2	
444	1	1	
444	2	2	
446	1	1	
446	2	2	
447	1	1	
449	1	1	
449	2	2	
449	3	3	
449	4	4	
450	1	1	
450	2	2	
450	3	3	
452	1	1	
452	2	2	
452	3	3	
453	1	1	
453	2	2	
454	1	1	
454	2	2	
454	3	3	
455	1	1	
455	2	2	
456	1	1	
456	2	2	
456	3	3	
458	1	1	
458	2	2	
461	1	1	
461	2	2	
462	1	1	
463	1	1	
463	2	2	
464	1	1	
464	2	2	
465	1	1	
465	2	2	
465	3	3	
466	1	1	
466	2	2	
468	1	1	
470	1	1	
470	2	2	
470	3	3	
471	1	1	
472	1	1	
472	2	2	
473	1	1	
474	1	1	
474	2	2	
475	1	1	
475	2	2	
476	1	1	
477	1	1	
478	1	1	
478	3	2	update income set mem_id=2 where fs_id=478 and mem_id=3;
479	1	1	
480	1	1	
481	1	1	
481	2	2	
482	1	1	
482	2	2	
482	3	3	
483	1	1	
483	2	2	
483	3	3	
484	1	1	
484	2	2	
485	1	1	
485	2	2	
485	3	3	
487	1	1	
487	2	2	
487	3	3	
490	1	1	
491	1	1	
491	2	2	
493	1	1	
493	2	2	
494	1	1	
495	1	1	
496	1	1	
496	2	2	
496	3	3	
497	1	1	
497	2	2	
500	1	1	
501	1	1	
501	2	2	
507	1	1	
507	2	2	
508	1	1	
508	2	2	
509	1	1	
509	2	2	
509	3	3	
510	1	1	
511	1	1	
511	2	2	
512	1	1	
512	2	2	
512	3	3	
513	1	1	
513	2	2	
514	1	1	
514	2	2	
515	1	1	
515	2	2	
515	3	3	
515	4	4	
516	1	1	
517	1	1	
517	2	2	
518	1	1	
518	2	2	
519	1	1	
520	1	1	
521	1	1	
523	1	1	
523	2	2	
525	1	1	
525	2	2	
528	1	1	
528	2	2	
529	1	1	
529	2	2	
529	3	3	
531	1	1	
531	2	2	
532	1	1	
533	1	1	
534	1	1	
535	1	1	
536	1	1	
538	1	1	
539	1	1	
539	2	2	
541	1	1	
541	2	2	
542	1	1	
542	2	2	
543	1	1	
544	1	1	
544	3	2	update income set mem_id=2 where fs_id=544 and mem_id=3;
545	1	1	
545	2	2	
546	1	1	
546	2	2	
546	3	3	
546	4	4	
547	1	1	
547	2	2	
547	3	3	
548	1	1	
548	2	2	
548	3	3	
548	4	4	
549	1	1	
549	2	2	
549	3	3	
550	1	1	
550	2	2	
550	3	3	
550	4	4	
551	1	1	
551	2	2	
551	3	3	
552	1	1	
552	2	2	
553	1	1	
553	2	2	
555	1	1	
555	2	2	
560	1	1	
560	2	2	
560	3	3	
560	4	4	
561	1	1	
561	2	2	
563	1	1	
563	2	2	
563	3	3	
563	4	4	
564	1	1	
564	2	2	
564	3	3	
564	4	4	
565	1	1	
565	2	2	
565	3	3	
565	4	4	
565	5	5	
566	1	1	
566	2	2	
566	3	3	
567	1	1	
567	2	2	
568	1	1	
568	2	2	
568	3	3	
571	1	1	
572	1	1	
573	1	1	
573	2	2	
573	3	3	
575	1	1	
575	2	2	
577	1	1	
579	1	1	
580	1	1	
581	1	1	
582	1	1	
582	2	2	
583	1	1	
584	1	1	
586	1	1	
586	2	2	
586	3	3	
587	1	1	
588	1	1	
590	1	1	
590	2	2	
592	1	1	
596	1	1	
596	2	2	
596	3	3	
597	1	1	
597	2	2	
598	1	1	
598	2	2	
599	1	1	
599	2	2	
599	3	3	
601	1	1	
601	2	2	
602	1	1	
603	1	1	
605	1	1	
606	1	1	
606	2	2	
607	1	1	
607	2	2	
608	1	1	
609	1	1	
610	1	1	
611	1	1	
612	1	1	
612	2	2	
614	1	1	
615	1	1	
615	2	2	
617	1	1	
617	2	2	
621	1	1	
621	2	2	
622	1	1	
622	2	2	
622	3	3	
622	4	4	
627	1	1	
627	2	2	
627	3	3	
630	1	1	
630	2	2	
630	3	3	
631	1	1	
631	5	2	update income set mem_id=2 where fs_id=631 and mem_id=5;
631	6	3	update income set mem_id=3 where fs_id=631 and mem_id=6;
632	1	1	
632	3	2	update income set mem_id=2 where fs_id=632 and mem_id=3;
634	1	1	
634	2	2	
637	1	1	
637	2	2	
638	1	1	
640	1	1	
640	2	2	
641	1	1	
642	3	1	update income set mem_id=1 where fs_id=642 and mem_id=3;
643	1	1	
643	3	2	update income set mem_id=2 where fs_id=643 and mem_id=3;
643	4	3	update income set mem_id=3 where fs_id=643 and mem_id=4;
646	1	1	
650	1	1	
650	2	2	
653	1	1	
653	2	2	
653	3	3	
654	1	1	
655	1	1	
655	3	2	update income set mem_id=2 where fs_id=655 and mem_id=3;
657	1	1	
657	2	2	
657	3	3	
658	1	1	
658	2	2	
660	1	1	
660	2	2	
660	4	3	update income set mem_id=3 where fs_id=660 and mem_id=4;
662	1	1	
664	1	1	
664	2	2	
664	3	3	
664	4	4	
664	5	5	
665	1	1	
666	1	1	
666	2	2	
667	1	1	
668	1	1	
669	1	1	
669	2	2	
670	1	1	
670	2	2	
671	1	1	
672	1	1	
672	2	2	
672	3	3	
673	1	1	
674	1	1	
674	2	2	
675	1	1	
675	2	2	
675	3	3	
675	4	4	
677	1	1	
677	2	2	
677	3	3	
678	1	1	
678	2	2	
678	3	3	
679	1	1	
679	2	2	
680	1	1	
680	6	2	update income set mem_id=2 where fs_id=680 and mem_id=6;
680	7	3	update income set mem_id=3 where fs_id=680 and mem_id=7;
681	1	1	
682	1	1	
682	3	2	update income set mem_id=2 where fs_id=682 and mem_id=3;
683	1	1	
683	2	2	
684	1	1	
685	1	1	
685	3	2	update income set mem_id=2 where fs_id=685 and mem_id=3;
685	4	3	update income set mem_id=3 where fs_id=685 and mem_id=4;
686	1	1	
686	2	2	
687	1	1	
688	1	1	
688	2	2	
690	1	1	
690	2	2	
690	3	3	
691	1	1	
691	2	2	
693	1	1	
693	2	2	
693	3	3	
694	1	1	
694	2	2	
694	3	3	
695	1	1	
695	7	2	update income set mem_id=2 where fs_id=695 and mem_id=7;
696	1	1	
696	2	2	
697	1	1	
697	2	2	
697	3	3	
697	4	4	
698	1	1	
699	1	1	
701	1	1	
701	2	2	
701	3	3	
702	1	1	
702	2	2	
703	1	1	
703	2	2	
704	1	1	
704	2	2	
705	1	1	
707	1	1	
708	1	1	
709	1	1	
709	2	2	
710	1	1	
710	2	2	
711	1	1	
713	1	1	
713	2	2	
714	1	1	
715	1	1	
716	1	1	
716	2	2	
718	1	1	
718	2	2	
718	3	3	
718	4	4	
719	1	1	
719	2	2	
720	1	1	
720	2	2	
720	3	3	
722	1	1	
722	2	2	
722	3	3	
722	5	4	update income set mem_id=4 where fs_id=722 and mem_id=5;
724	1	1	
724	2	2	
726	1	1	
726	2	2	
727	1	1	
727	2	2	
729	1	1	
729	3	2	update income set mem_id=2 where fs_id=729 and mem_id=3;
730	1	1	
731	1	1	
731	2	2	
731	3	3	
732	1	1	
732	2	2	
733	1	1	
735	1	1	
735	2	2	
736	1	1	
739	1	1	
740	1	1	
741	1	1	
741	2	2	
742	1	1	
743	1	1	
744	1	1	
744	2	2	
745	1	1	
745	2	2	
745	3	3	
745	6	4	update income set mem_id=4 where fs_id=745 and mem_id=6;
746	1	1	
749	1	1	
749	2	2	
750	1	1	
750	2	2	
751	1	1	
752	1	1	
752	2	2	
753	1	1	
753	2	2	
754	1	1	
755	1	1	
756	1	1	
758	1	1	
759	1	1	
759	2	2	
759	3	3	
760	1	1	
760	6	2	update income set mem_id=2 where fs_id=760 and mem_id=6;
761	1	1	
761	2	2	
761	3	3	
761	4	4	
762	1	1	
763	1	1	
763	2	2	
764	1	1	
764	2	2	
766	1	1	
766	2	2	
766	3	3	
767	1	1	
774	1	1	
774	2	2	
774	3	3	
774	4	4	
776	1	1	
776	2	2	
776	3	3	
776	4	4	
777	1	1	
778	1	1	
778	2	2	
780	1	1	
780	2	2	
780	3	3	
781	1	1	
781	2	2	
781	3	3	
781	4	4	
781	5	5	
783	1	1	
784	1	1	
785	1	1	
786	1	1	
786	2	2	
786	6	3	update income set mem_id=3 where fs_id=786 and mem_id=6;
787	1	1	
787	2	2	
788	1	1	
789	1	1	
789	2	2	
789	3	3	
790	1	1	
791	1	1	
791	2	2	
792	1	1	
793	1	1	
795	1	1	
795	2	2	
795	3	3	
795	4	4	
797	1	1	
797	2	2	
797	3	3	
797	4	4	
798	1	1	
798	2	2	
799	1	1	
799	3	2	update income set mem_id=2 where fs_id=799 and mem_id=3;
800	1	1	
800	2	2	
800	3	3	
800	5	4	update income set mem_id=4 where fs_id=800 and mem_id=5;
800	6	5	update income set mem_id=5 where fs_id=800 and mem_id=6;
800	7	6	update income set mem_id=6 where fs_id=800 and mem_id=7;
802	1	1	
802	2	2	
802	3	3	
802	4	4	
802	5	5	
803	1	1	
804	1	1	
805	1	1	
805	2	2	
805	3	3	
807	1	1	
808	1	1	
808	2	2	
808	3	3	
809	1	1	
809	3	2	update income set mem_id=2 where fs_id=809 and mem_id=3;
809	4	3	update income set mem_id=3 where fs_id=809 and mem_id=4;
810	1	1	
811	1	1	
812	1	1	
813	1	1	
813	2	2	
814	1	1	
814	2	2	
814	3	3	
816	1	1	
816	2	2	
817	1	1	
818	1	1	
823	1	1	
823	2	2	
823	3	3	
823	4	4	
824	1	1	
824	3	2	update income set mem_id=2 where fs_id=824 and mem_id=3;
824	5	3	update income set mem_id=3 where fs_id=824 and mem_id=5;
825	1	1	
825	2	2	
825	3	3	
825	4	4	
826	1	1	
826	2	2	
828	1	1	
828	2	2	
828	3	3	
828	4	4	
828	5	5	
830	1	1	
831	1	1	
832	1	1	
832	2	2	
832	3	3	
832	6	4	update income set mem_id=4 where fs_id=832 and mem_id=6;
832	7	5	update income set mem_id=5 where fs_id=832 and mem_id=7;
835	1	1	
837	1	1	
837	2	2	
837	3	3	
838	1	1	
839	1	1	
840	1	1	
840	2	2	
842	1	1	
842	2	2	
842	3	3	
842	4	4	
846	1	1	
846	2	2	
847	1	1	
848	1	1	
848	2	2	
849	1	1	
849	2	2	
849	3	3	
851	1	1	
851	2	2	
851	3	3	
851	4	4	
851	5	5	
851	6	6	
852	1	1	
852	2	2	
852	3	3	
852	4	4	
852	5	5	
852	6	6	
852	7	7	
854	1	1	
854	2	2	
854	3	3	
854	6	4	update income set mem_id=4 where fs_id=854 and mem_id=6;
854	7	5	update income set mem_id=5 where fs_id=854 and mem_id=7;
855	1	1	
855	2	2	
855	3	3	
855	4	4	
855	5	5	
855	6	6	
856	1	1	
856	2	2	
856	3	3	
856	4	4	
859	1	1	
860	1	1	
861	1	1	
862	1	1	
864	1	1	
864	2	2	
865	1	1	
865	2	2	
866	1	1	
868	1	1	
868	3	2	update income set mem_id=2 where fs_id=868 and mem_id=3;
869	1	1	
869	2	2	
870	1	1	
870	3	2	update income set mem_id=2 where fs_id=870 and mem_id=3;
871	1	1	
872	1	1	
874	1	1	
874	2	2	
874	3	3	
875	1	1	
875	2	2	
876	1	1	
876	2	2	
877	1	1	
877	2	2	
878	1	1	
879	1	1	
879	2	2	
880	1	1	
882	1	1	
882	2	2	
885	1	1	
886	1	1	
887	1	1	
888	1	1	
888	2	2	
888	3	3	
889	1	1	
890	1	1	
890	3	2	update income set mem_id=2 where fs_id=890 and mem_id=3;
891	1	1	
893	1	1	
894	1	1	
895	1	1	
895	2	2	
899	1	1	
900	1	1	
900	2	2	
900	3	3	
900	4	4	
901	1	1	
901	2	2	
901	3	3	
902	1	1	
902	2	2	
902	3	3	
904	1	1	
904	2	2	
904	3	3	
904	4	4	
906	1	1	
907	1	1	
908	1	1	
910	1	1	
910	2	2	
911	1	1	
912	1	1	
913	1	1	
913	2	2	
915	1	1	
915	2	2	
915	3	3	
915	4	4	
916	1	1	
916	2	2	
916	3	3	
916	4	4	
917	1	1	
917	2	2	
917	3	3	
918	1	1	
918	2	2	
919	1	1	
919	2	2	
921	1	1	
921	3	2	update income set mem_id=2 where fs_id=921 and mem_id=3;
921	4	3	update income set mem_id=3 where fs_id=921 and mem_id=4;
922	1	1	
922	2	2	
922	3	3	
923	1	1	
923	2	2	
925	1	1	
925	2	2	
926	1	1	
926	2	2	
927	1	1	
927	2	2	
927	3	3	
928	1	1	
929	1	1	
930	1	1	
930	2	2	
931	1	1	
931	2	2	
933	1	1	
933	2	2	
933	3	3	
934	1	1	
936	1	1	
936	2	2	
937	1	1	
937	3	2	update income set mem_id=2 where fs_id=937 and mem_id=3;
938	1	1	
939	1	1	
941	1	1	
941	2	2	
942	1	1	
942	2	2	
943	1	1	
943	2	2	
944	1	1	
944	2	2	
944	3	3	
945	1	1	
945	2	2	
946	1	1	
946	2	2	
947	1	1	
947	2	2	
947	3	3	
947	4	4	
949	1	1	
950	1	1	
951	1	1	
952	1	1	
952	2	2	
952	3	3	
954	1	1	
954	2	2	
955	1	1	
955	2	2	
956	1	1	
956	2	2	
957	1	1	
957	3	2	update income set mem_id=2 where fs_id=957 and mem_id=3;
958	1	1	
958	2	2	
959	1	1	
959	2	2	
960	1	1	
960	2	2	
961	1	1	
964	1	1	
964	3	2	update income set mem_id=2 where fs_id=964 and mem_id=3;
964	4	3	update income set mem_id=3 where fs_id=964 and mem_id=4;
964	5	4	update income set mem_id=4 where fs_id=964 and mem_id=5;
965	1	1	
967	1	1	
967	2	2	
967	3	3	
967	4	4	
968	1	1	
968	2	2	
968	3	3	
968	5	4	update income set mem_id=4 where fs_id=968 and mem_id=5;
968	6	5	update income set mem_id=5 where fs_id=968 and mem_id=6;
968	7	6	update income set mem_id=6 where fs_id=968 and mem_id=7;
969	1	1	
969	2	2	
969	3	3	
970	1	1	
970	2	2	
971	1	1	
971	2	2	
972	1	1	
973	1	1	
974	1	1	
975	1	1	
975	2	2	
975	3	3	
977	1	1	
977	2	2	
978	1	1	
978	3	2	update income set mem_id=2 where fs_id=978 and mem_id=3;
978	4	3	update income set mem_id=3 where fs_id=978 and mem_id=4;
979	1	1	
980	1	1	
980	2	2	
981	1	1	
981	2	2	
981	3	3	
983	2	1	update income set mem_id=1 where fs_id=983 and mem_id=2;
984	1	1	
984	2	2	
985	1	1	
986	1	1	
986	2	2	
987	1	1	
988	1	1	
988	2	2	
989	1	1	
990	1	1	
990	2	2	
991	1	1	
991	2	2	
992	1	1	
992	2	2	
993	1	1	
993	2	2	
993	5	3	update income set mem_id=3 where fs_id=993 and mem_id=5;
995	1	1	
995	2	2	
995	3	3	
997	1	1	
997	2	2	
997	3	3	
997	4	4	
997	5	5	
1000	1	1	
1000	2	2	
1001	1	1	
1001	2	2	
1001	3	3	
1001	4	4	
1002	1	1	
1003	1	1	
1003	2	2	
1004	1	1	
1004	2	2	
1004	3	3	
1008	1	1	
1008	2	2	
1008	3	3	
1008	4	4	
1008	5	5	
1008	6	6	
1009	1	1	
1010	1	1	
1011	1	1	
1012	1	1	
1014	1	1	
1015	1	1	
1015	2	2	
1015	3	3	
