mysql> select fid1,fid2,mem1,mem2,count(*) from mdetail group by fid1,fid2,mem1,mem2;
+------+------+------+------+----------+
| fid1 | fid2 | mem1 | mem2 | count(*) |
|   67 |   67 |    2 |    6 |        3 |
|   67 |   67 |    3 |    1 |        3 |
|   67 |   67 |    3 |    2 |        3 |
|   67 |   67 |    3 |    3 |        3 |
|   67 |   67 |    3 |    4 |        3 |
|   67 |   67 |    3 |    5 |        3 |
|   67 |   67 |    3 |    6 |        3 |
|   68 |   68 |    1 |    1 |        3 |
|   68 |   68 |    1 |    2 |        3 |
|   68 |   68 |    2 |    1 |        3 |
|   68 |   68 |    2 |    2 |        3 |
|   70 |   70 |    1 |    1 |        3 |
|   70 |   70 |    1 |    2 |        3 |
|   71 |   71 |    1 |    1 |        3 |
|   71 |   71 |    1 |    2 |        3 |
|   71 |   71 |    1 |    3 |        3 |
|   71 |   71 |    1 |    4 |        3 |
|   71 |   71 |    1 |    5 |        3 |
|   71 |   71 |    1 |    6 |        3 |
|   71 |   71 |    1 |    7 |        3 |
|   71 |   71 |    1 |    8 |        3 |
|   71 |   71 |    1 |    9 |        3 |
|   71 |   71 |    1 |   10 |        3 |
|   71 |   71 |    2 |    1 |        3 |
|   71 |   71 |    2 |    2 |        3 |
|   71 |   71 |    2 |    3 |        3 |
|   71 |   71 |    2 |    4 |        3 |
|   71 |   71 |    2 |    5 |        3 |
|   71 |   71 |    2 |    6 |        3 |
|   71 |   71 |    2 |    7 |        3 |
|   71 |   71 |    2 |    8 |        3 |
|   71 |   71 |    2 |    9 |        3 |
|   71 |   71 |    2 |   10 |        3 |
|   71 |   71 |    3 |    1 |        3 |
|   71 |   71 |    3 |    2 |        3 |
|   71 |   71 |    3 |    3 |        3 |
|   71 |   71 |    3 |    4 |        3 |
|   71 |   71 |    3 |    5 |        3 |
|   71 |   71 |    3 |    6 |        3 |
|   71 |   71 |    3 |    7 |        3 |
|   71 |   71 |    3 |    8 |        3 |
|   71 |   71 |    3 |    9 |        3 |
|   71 |   71 |    3 |   10 |        3 |
|   73 |   73 |    1 |    1 |        3 |
|   73 |   73 |    1 |    2 |        3 |
|   73 |   73 |    1 |    3 |        3 |
|   73 |   73 |    1 |    4 |        3 |
|   73 |   73 |    1 |    5 |        3 |
|   73 |   73 |    1 |    6 |        3 |
|   73 |   73 |    1 |    7 |        3 |
|   73 |   73 |    1 |    8 |        3 |
|   73 |   73 |    1 |    9 |        3 |
