mysql> select a.fs_id , a.mem_id , b.mem_id , a.fm_mm , a.income1+a.income2+a.income3+a.income4 as aCY , b.income1+b.income2+b.income3+b.income4 as bCY , IF(A.INCOME1=B.INCOME1,A.INCOME1,'') , IF(A.INCOME2=B.INCOME2,A.INCOME2,'') , IF(A.INCOME3=B.INCOME3 , A.INCOME3,'') , IF(A.INCOME4=B.INCOME4,A.INCOME4,'') from income a,income b where a.fs_id=b.fs_id and a.mem_id<>b.mem_id and( a.income1=b.income1 or a.income2=b.income2 or a.income3=b.income3 or a.income4=b.income4) and a.fm_mm= b.fm_mm and a.mem_id<b.mem_id;
+-------+--------+--------+-------+-------+------+--------------------------------------+--------------------------------------+----------------------------------------+--------------------------------------+
| fs_id | mem_id | mem_id | fm_mm | aCY   | bCY  | IF(A.INCOME1=B.INCOME1,A.INCOME1,'') | IF(A.INCOME2=B.INCOME2,A.INCOME2,'') | IF(A.INCOME3=B.INCOME3 , A.INCOME3,'') | IF(A.INCOME4=B.INCOME4,A.INCOME4,'') |
|    23 |      2 |      3 |     2 |     0 |    0 | 0                                    | 0                                    | 0                                      | 0                                    |
|    23 |      1 |      2 |     1 |   322 |    0 |                                      | 0                                    | 0                                      | 0                                    |
|    23 |      1 |      3 |     1 |   322 |    0 |                                      | 0                                    | 0                                      | 0                                    |
|    23 |      2 |      3 |     3 |     0 |    0 | 0                                    | 0                                    | 0                                      | 0                                    |
|    24 |      1 |      3 |     1 |   162 |    0 |                                      | 0                                    | 0                                      | 0                                    |
|    24 |      1 |      2 |     1 |   162 |  162 | 162                                  | 0                                    | 0                                      | 0                                    |
|    24 |      2 |      3 |     3 |   162 |    0 |                                      | 0                                    | 0                                      | 0                                    |
|    24 |      1 |      3 |     3 |   162 |    0 |                                      | 0                                    | 0                                      | 0                                    |
|    24 |      1 |      2 |     3 |   162 |  162 | 162                                  | 0                                    | 0                                      | 0                                    |
|    24 |      2 |      3 |     1 |   162 |    0 |                                      | 0                                    | 0                                      | 0                                    |
|    24 |      2 |      3 |     2 |   162 |    0 |                                      | 0                                    | 0                                      | 0                                    |
|    24 |      1 |      3 |     2 |   162 |    0 |                                      | 0                                    | 0                                      | 0                                    |
|    24 |      1 |      2 |     2 |   162 |  162 | 162                                  | 0                                    | 0                                      | 0                                    |
|    27 |      1 |      2 |     1 |   300 |  267 |                                      | 0                                    | 0                                      | 0                                    |
|    27 |      1 |      2 |     2 |   300 |  267 |                                      | 0                                    | 0                                      | 0                                    |
|    27 |      1 |      2 |     3 |   300 |  267 |                                      | 0                                    | 0                                      | 0                                    |
|    28 |      1 |      2 |     1 |   246 |  161 |                                      | 0                                    | 0                                      | 0                                    |
|    28 |      1 |      3 |     1 |   246 |  258 |                                      | 0                                    | 0                                      | 0                                    |
|    28 |      1 |      3 |     2 |   246 |  258 |                                      | 0                                    | 0                                      | 0                                    |
|    28 |      1 |      2 |     2 |   246 |  161 |                                      | 0                                    | 0                                      | 0                                    |
|    28 |      1 |      3 |     3 |   246 |  258 |                                      | 0                                    | 0                                      | 0                                    |
|    28 |      1 |      2 |     3 |   246 |  161 |                                      | 0                                    | 0                                      | 0                                    |
|    28 |      2 |      3 |     1 |   161 |  258 |                                      | 0                                    | 0                                      | 0                                    |
|    28 |      2 |      3 |     3 |   161 |  258 |                                      | 0                                    | 0                                      | 0                                    |
|    28 |      2 |      3 |     2 |   161 |  258 |                                      | 0                                    | 0                                      | 0                                    |
|    29 |      1 |      2 |     1 |   241 |  241 | 241                                  | 0                                    | 0                                      | 0                                    |
|    29 |      1 |      3 |     1 |   241 |  160 |                                      | 0                                    | 0                                      | 0                                    |
|    29 |      1 |      4 |     1 |   241 |  398 |                                      | 0                                    | 0                                      | 0                                    |
|    29 |      1 |      5 |     1 |   241 |  182 |                                      | 0                                    | 0                                      | 0                                    |
|    29 |      1 |      5 |     3 |   241 |  182 |                                      | 0                                    | 0                                      | 0                                    |
|    29 |      1 |      2 |     3 |   241 |  241 | 241                                  | 0                                    | 0                                      | 0                                    |
|    29 |      1 |      3 |     3 |   241 |  160 |                                      | 0                                    | 0                                      | 0                                    |
|    29 |      1 |      4 |     3 |   241 |  398 |                                      | 0                                    | 0                                      | 0                                    |
|    29 |      2 |      3 |     1 |   241 |  160 |                                      | 0                                    | 0                                      | 0                                    |
|    29 |      2 |      4 |     1 |   241 |  398 |                                      | 0                                    | 0                                      | 0                                    |
|    29 |      2 |      5 |     1 |   241 |  182 |                                      | 0                                    | 0                                      | 0                                    |
|    29 |      2 |      3 |     2 |   241 |  160 |                                      | 0                                    | 0                                      | 0                                    |
|    29 |      2 |      4 |     2 |   241 |  398 |                                      | 0                                    | 0                                      | 0                                    |
|    29 |      2 |      5 |     2 |   241 |  182 |                                      | 0                                    | 0                                      | 0                                    |
|    29 |      2 |      5 |     3 |   241 |  182 |                                      | 0                                    | 0                                      | 0                                    |
|    29 |      2 |      3 |     3 |   241 |  160 |                                      | 0                                    | 0                                      | 0                                    |
|    29 |      2 |      4 |     3 |   241 |  398 |                                      | 0                                    | 0                                      | 0                                    |
|    29 |      3 |      4 |     1 |   160 |  398 |                                      | 0                                    | 0                                      | 0                                    |
|    29 |      3 |      5 |     1 |   160 |  182 |                                      | 0                                    | 0                                      | 0                                    |
|    29 |      3 |      4 |     2 |   160 |  398 |                                      | 0                                    | 0                                      | 0                                    |
|    29 |      3 |      5 |     2 |   160 |  182 |                                      | 0                                    | 0                                      | 0                                    |
|    29 |      3 |      5 |     3 |   160 |  182 |                                      | 0                                    | 0                                      | 0                                    |
|    29 |      3 |      4 |     3 |   160 |  398 |                                      | 0                                    | 0                                      | 0                                    |
|    29 |      4 |      5 |     1 |   398 |  182 |                                      | 0                                    | 0                                      | 0                                    |
|    29 |      4 |      5 |     2 |   398 |  182 |                                      | 0                                    | 0                                      | 0                                    |
|    29 |      4 |      5 |     3 |   398 |  182 |                                      | 0                                    | 0                                      | 0                                    |
|    29 |      1 |      2 |     2 |   241 |  241 | 241                                  | 0                                    | 0                                      | 0                                    |
|    29 |      1 |      3 |     2 |   241 |  160 |                                      | 0                                    | 0                                      | 0                                    |
|    29 |      1 |      4 |     2 |   241 |  398 |                                      | 0                                    | 0                                      | 0                                    |
|    29 |      1 |      5 |     2 |   241 |  182 |                                      | 0                                    | 0                                      | 0                                    |
|    30 |      1 |      2 |     1 |   118 |  155 |                                      | 0                                    | 0                                      | 0                                    |
|    30 |      1 |      3 |     1 |   118 |  156 |                                      | 0                                    | 0                                      | 0                                    |
|    30 |      1 |      3 |     2 |   118 |  156 |                                      | 0                                    | 0                                      | 0                                    |
|    30 |      1 |      2 |     2 |   118 |  155 |                                      | 0                                    | 0                                      | 0                                    |
|    30 |      1 |      3 |     3 |   118 |  156 |                                      | 0                                    | 0                                      | 0                                    |
|    30 |      1 |      2 |     3 |   118 |  155 |                                      | 0                                    | 0                                      | 0                                    |
|    30 |      2 |      3 |     1 |   155 |  156 |                                      | 0                                    | 0                                      | 0                                    |
|    30 |      2 |      3 |     3 |   155 |  156 |                                      | 0                                    | 0                                      | 0                                    |
