mysql> select a.fs_id,a.mem_id,b.mem_id,a.income1+a.income2+a.income3+a.income4 as aCY,b.income1+b.income2+b.income3+b.income4 as bCY from income a,income b where a.fs_id=b.fs_id and a.mem_id<>b.mem_id and( a.income1=b.income1 or a.income2=b.income2 or a.income3=b.income3 or a.income4=b.income4) and a.fm_mm=1 and b.fm_mm=1 and a.mem_id>b.mem_id;
+-------+--------+--------+------+-------+
| fs_id | mem_id | mem_id | aCY  | bCY   |
|   118 |      2 |      1 |  162 |   268 |
|   122 |      3 |      1 |  160 |   160 |
|   122 |      3 |      2 |  160 |   160 |
|   122 |      2 |      1 |  160 |   160 |
|   125 |      2 |      1 |  645 |   269 |
|   126 |      2 |      1 |  807 |   752 |
|   130 |      2 |      1 |  375 |   267 |
|   130 |      4 |      1 |  375 |   267 |
|   130 |      4 |      2 |  375 |   375 |
|   133 |      3 |      1 |    0 |  6256 |
|   133 |      3 |      2 |    0 |  1189 |
|   133 |      4 |      3 |    0 |     0 |
|   133 |      4 |      1 |    0 |  6256 |
|   133 |      4 |      2 |    0 |  1189 |
|   133 |      2 |      1 | 1189 |  6256 |
|   134 |      2 |      1 |  891 |  1189 |
|   136 |      2 |      1 |    0 |  1500 |
|   136 |      3 |      1 |    0 |  1500 |
|   136 |      3 |      2 |    0 |     0 |
|   137 |      3 |      1 | 2569 |  1500 |
|   137 |      3 |      2 | 2569 |     0 |
|   137 |      2 |      1 |    0 |  1500 |
|   138 |      2 |      1 |    0 |  1400 |
|   140 |      2 |      1 | 1901 |  3959 |
|   145 |      2 |      1 | 1426 |  4615 |
|   146 |      3 |      1 | 2378 |     0 |
|   146 |      3 |      2 | 2378 |     0 |
|   146 |      5 |      3 | 1189 |  2378 |
|   146 |      5 |      1 | 1189 |     0 |
|   146 |      5 |      2 | 1189 |     0 |
|   146 |      5 |      4 | 1189 |     0 |
|   146 |      9 |      3 | 1189 |  2378 |
|   146 |      9 |      5 | 1189 |  1189 |
|   146 |      9 |      1 | 1189 |     0 |
|   146 |      9 |      2 | 1189 |     0 |
|   146 |      9 |      4 | 1189 |     0 |
|   146 |     12 |      3 | 1426 |  2378 |
|   146 |     12 |      5 | 1426 |  1189 |
|   146 |     12 |      9 | 1426 |  1189 |
|   146 |     12 |      1 | 1426 |     0 |
|   146 |     12 |      2 | 1426 |     0 |
|   146 |     12 |      4 | 1426 |     0 |
|   146 |      2 |      1 |    0 |     0 |
|   146 |      4 |      3 |    0 |  2378 |
|   146 |      4 |      1 |    0 |     0 |
|   146 |      4 |      2 |    0 |     0 |
|   148 |      3 |      1 |    0 |  2000 |
|   148 |      3 |      2 |    0 |     0 |
|   148 |      4 |      1 |    0 |  2000 |
|   148 |      4 |      3 |    0 |     0 |
|   148 |      4 |      2 |    0 |     0 |
|   148 |      2 |      1 |    0 |  2000 |
|   149 |      2 |      1 |    0 |  1800 |
|   150 |      2 |      1 | 1069 |  3307 |
|   152 |      2 |      1 |    0 | 17400 |
|   154 |      2 |      1 |  831 |  1189 |
|   155 |      2 |      1 |    0 |  1500 |
|   159 |      2 |      1 |    0 |     0 |
|   163 |      3 |      2 |    0 |  2000 |
|   163 |      3 |      1 |    0 |     0 |
|   163 |      2 |      1 | 2000 |     0 |
|   163 |      4 |      3 | 1189 |     0 |
|   163 |      4 |      2 | 1189 |  2000 |
|   163 |      4 |      1 | 1189 |     0 |
|   164 |      2 |      1 |    0 |  2000 |
|   164 |      3 |      1 | 1783 |  2000 |
|   164 |      3 |      2 | 1783 |     0 |
|   164 |      4 |      1 | 1069 |  2000 |
|   164 |      4 |      2 | 1069 |     0 |
|   164 |      4 |      3 | 1069 |  1783 |
|   164 |      5 |      1 | 1189 |  2000 |
|   164 |      5 |      2 | 1189 |     0 |
|   164 |      5 |      3 | 1189 |  1783 |
|   164 |      5 |      4 | 1189 |  1069 |
|   166 |      3 |      2 | 1189 |     0 |
|   166 |      3 |      1 | 1189 |  2000 |
|   166 |      2 |      1 |    0 |  2000 |
|   166 |      4 |      3 |  950 |  1189 |
|   166 |      4 |      2 |  950 |     0 |
|   166 |      4 |      1 |  950 |  2000 |
|   167 |      3 |      1 | 1545 |  2000 |
|   167 |      4 |      1 | 1486 |  2000 |
|   167 |      4 |      3 | 1486 |  1545 |
|   167 |      5 |      1 | 1307 |  2000 |
|   167 |      5 |      3 | 1307 |  1545 |
|   167 |      5 |      4 | 1307 |  1486 |
|   167 |      6 |      1 | 1545 |  2000 |
|   167 |      6 |      3 | 1545 |  1545 |
|   167 |      6 |      4 | 1545 |  1486 |
|   167 |      6 |      5 | 1545 |  1307 |
|   167 |     10 |      1 | 1604 |  2000 |
|   167 |     10 |      3 | 1604 |  1545 |
|   167 |     10 |      4 | 1604 |  1486 |
|   167 |     10 |      5 | 1604 |  1307 |
|   167 |     10 |      6 | 1604 |  1545 |
|   167 |     11 |      1 | 1069 |  2000 |
|   167 |     11 |      3 | 1069 |  1545 |
|   167 |     11 |      4 | 1069 |  1486 |
|   167 |     11 |      5 | 1069 |  1307 |
|   167 |     11 |      6 | 1069 |  1545 |
|   167 |     11 |     10 | 1069 |  1604 |
|   167 |     12 |      1 | 1783 |  2000 |
|   167 |     12 |      3 | 1783 |  1545 |
|   167 |     12 |      4 | 1783 |  1486 |
|   167 |     12 |      5 | 1783 |  1307 |
|   167 |     12 |      6 | 1783 |  1545 |
|   167 |     12 |     10 | 1783 |  1604 |
|   167 |     12 |     11 | 1783 |  1069 |
|   167 |     13 |      1 | 1842 |  2000 |
|   167 |     13 |      3 | 1842 |  1545 |
|   167 |     13 |      4 | 1842 |  1486 |
|   167 |     13 |      5 | 1842 |  1307 |
|   167 |     13 |      6 | 1842 |  1545 |
|   167 |     13 |     10 | 1842 |  1604 |
|   167 |     13 |     11 | 1842 |  1069 |
|   167 |     13 |     12 | 1842 |  1783 |
|   170 |      2 |      1 |    0 |  2000 |
|   172 |      5 |      1 |    0 |  1703 |
|   172 |      5 |      2 |    0 |  2000 |
|   172 |      2 |      1 | 2000 |  1703 |
|   174 |      2 |      1 |    0 |  1500 |
|   174 |      3 |      1 |    0 |  1500 |
|   174 |      3 |      2 |    0 |     0 |
|   175 |      2 |      1 | 1426 |  3639 |
|   177 |      3 |      1 | 1189 |  1500 |
|   177 |      3 |      2 | 1189 |     0 |
|   177 |      5 |      3 | 1189 |  1189 |
|   177 |      5 |      1 | 1189 |  1500 |
|   177 |      5 |      2 | 1189 |     0 |
|   177 |      2 |      1 |    0 |  1500 |
|   178 |      2 |      1 | 1189 |  2926 |
|   178 |      3 |      1 | 1783 |  2926 |
|   178 |      3 |      2 | 1783 |  1189 |
|   178 |      4 |      1 | 2139 |  2926 |
|   178 |      4 |      2 | 2139 |  1189 |
|   178 |      4 |      3 | 2139 |  1783 |
|   179 |     10 |      1 | 1189 |  1500 |
|   179 |     10 |      2 | 1189 |  1426 |
|   179 |     10 |      3 | 1189 |  1189 |
|   179 |     10 |      4 | 1189 |     0 |
|   179 |     10 |      9 | 1189 |  1189 |
|   179 |      2 |      1 | 1426 |  1500 |
|   179 |      3 |      1 | 1189 |  1500 |
|   179 |      3 |      2 | 1189 |  1426 |
|   179 |      4 |      1 |    0 |  1500 |
|   179 |      4 |      2 |    0 |  1426 |
|   179 |      4 |      3 |    0 |  1189 |
|   179 |      9 |      1 | 1189 |  1500 |
|   179 |      9 |      2 | 1189 |  1426 |
|   179 |      9 |      3 | 1189 |  1189 |
|   179 |      9 |      4 | 1189 |     0 |
