mysql> select CLASS_INCOMES,substring(i,1,4),sum(p*qt),nat_id from e2,incomeclass where fs_id=f group by CLASS_INCOMES,substring(i,1,4) order by nat_id,CLASS_INCOMES,substring(i,1,4);
+---------------+------------------+---------------+--------+
| CLASS_INCOMES | substring(i,1,4) | sum(p*qt)     | nat_id |
|            22 | 0118             |   264.5699993 |      1 |
|            22 | 0119             |   321.5000005 |      1 |
|            22 | 0121             |   147.4199999 |      1 |
|            22 | 0122             |   914.6100011 |      1 |
|            22 | 0312             |  8060.2500003 |      1 |
|            22 | 0313             |   269.2500002 |      1 |
|            22 | 0314             |   582.6999991 |      1 |
|            22 | 0321             |  1069.2900002 |      1 |
|            22 | 0411             | 16715.0000001 |      1 |
|            22 | 0421             |  3935.0000000 |      1 |
|            22 | 0431             |    33.5500000 |      1 |
|            22 | 0441             |   474.5000000 |      1 |
|            22 | 0442             |   186.0000000 |      1 |
|            22 | 0451             |   840.9999999 |      1 |
|            22 | 0452             |   135.2500003 |      1 |
|            22 | 0454             |    44.8500000 |      1 |
|            22 | 0512             |   728.4049999 |      1 |
|            22 | 0513             |   200.0000000 |      1 |
|            22 | 0520             |  1293.3950003 |      1 |
|            22 | 0531             |   768.0450000 |      1 |
|            22 | 0532             |   569.6699998 |      1 |
|            22 | 0533             |   252.0000000 |      1 |
|            22 | 0540             |  2986.4000015 |      1 |
|            22 | 0552             |   223.7600004 |      1 |
|            22 | 0561             |  1451.1249994 |      1 |
|            22 | 0562             |  1615.8499997 |      1 |
|            22 | 0611             |   192.2150000 |      1 |
|            22 | 0612             |    10.1850000 |      1 |
|            22 | 0613             |   310.0500000 |      1 |
|            22 | 0622             |   100.0000000 |      1 |
|            22 | 0630             |  1000.0000000 |      1 |
|            22 | 0721             |   310.0000001 |      1 |
|            22 | 0722             |  1668.0900005 |      1 |
|            22 | 0723             |  1945.4100001 |      1 |
|            22 | 0724             |    11.9000000 |      1 |
|            22 | 0733             |  2880.0000000 |      1 |
|            22 | 0820             |  2284.7500001 |      1 |
|            22 | 0830             |  2724.6500015 |      1 |
|            22 | 0915             |    72.0000000 |      1 |
|            22 | 0922             |    27.5000000 |      1 |
|            22 | 0923             |    21.0000000 |      1 |
|            22 | 0931             |   371.0400000 |      1 |
|            22 | 0933             |   118.1000000 |      1 |
|            22 | 0934             |    62.5000000 |      1 |
|            22 | 0935             |     4.0000000 |      1 |
|            22 | 0941             |   354.4999999 |      1 |
|            22 | 0942             |    16.7500000 |      1 |
|            22 | 0952             |   164.5999998 |      1 |
|            22 | 0953             |    12.0000000 |      1 |
|            22 | 0954             |   480.3799988 |      1 |
|            22 | 0960             |    18.0000000 |      1 |
|            22 | 1020             |  2140.0000000 |      1 |
|            22 | 1111             |  2016.9800029 |      1 |
|            22 | 1112             |   487.4500023 |      1 |
|            22 | 1211             |   926.0000005 |      1 |
|            22 | 1213             |  6549.6749983 |      1 |
|            22 | 1231             |  2180.8699999 |      1 |
|            22 | 1232             |   839.0999999 |      1 |
|            22 | 1254             |    38.5000000 |      1 |
|            22 | 1320             |  7983.7499997 |      1 |
|            23 | 0313             |   376.8999999 |      1 |
|            23 | 0421             |  7950.0000000 |      1 |
|            23 | 0431             |   281.9500000 |      1 |
|            23 | 0621             |   223.9999998 |      1 |
|            23 | 0724             |     8.0499996 |      1 |
|            23 | 0911             |   417.0000000 |      1 |
|            23 | 0923             |     3.7500000 |      1 |
|            23 | 0933             |   195.9999997 |      1 |
|            23 | 0952             |    54.6000000 |      1 |
|            23 | 1212             |    73.0000000 |      1 |
|            23 | 1262             |    49.0000000 |      1 |
|            24 | 0421             |  6150.0000000 |      1 |
|            24 | 0513             |    50.0000000 |      1 |
|            25 | 0220             |   194.1900012 |      1 |
