
mysql> select nat_id,
    -> case when CLASS_INCOMES>15 then 15 when CLASS_INCOMES<0 then 0 else CLASS_INCOMES end as classIncome
    -> ,substring(i,1,4) as subProduct,sum(p*qt) as expenditure from e2,incomeclass where fs_id=f group by 
    -> case when CLASS_INCOMES>15 then 15 when CLASS_INCOMES<0 then 0 else CLASS_INCOMES end
    -> ,substring(i,1,4) order by nat_id,
    -> case when CLASS_INCOMES>15 then 15 when CLASS_INCOMES<0 then 0 else CLASS_INCOMES end
    -> ,substring(i,1,4);
+--------+-------------+------------+-----------------+
| nat_id | classIncome | subProduct | expenditure     |
|      2 |           2 | 0121       |       1.8000000 |
|      2 |           2 | 0122       |       1.8000000 |
|      2 |           2 | 0312       |     103.5400004 |
|      2 |           2 | 0321       |      27.7499999 |
|      2 |           2 | 0411       |     540.0000000 |
|      2 |           2 | 0432       |       6.0000000 |
|      2 |           2 | 0441       |       9.0000000 |
|      2 |           2 | 0442       |       6.0000000 |
|      2 |           2 | 0451       |      21.0000000 |
|      2 |           2 | 0452       |       7.7500000 |
|      2 |           2 | 0511       |       0.1000000 |
|      2 |           2 | 0520       |       5.5900001 |
|      2 |           2 | 0532       |       2.9000000 |
|      2 |           2 | 0533       |       5.0000000 |
|      2 |           2 | 0540       |       4.3000000 |
|      2 |           2 | 0552       |       6.3000000 |
|      2 |           2 | 0561       |      21.9199996 |
|      2 |           2 | 0562       |       0.5000000 |
|      2 |           2 | 0611       |       3.0999999 |
|      2 |           2 | 0732       |      23.5000005 |
|      2 |           2 | 0820       |       2.5000000 |
|      2 |           2 | 0830       |      41.5000001 |
|      2 |           2 | 0914       |       1.5000000 |
|      2 |           2 | 0942       |       3.0000000 |
|      2 |           2 | 1111       |       6.7500000 |
|      2 |           2 | 1211       |      12.5000001 |
|      2 |           2 | 1213       |      56.3500000 |
|      2 |           2 | 1310       |       6.0000000 |
|      2 |           3 | 0111       |      48.6949983 |
|      2 |           3 | 0112       |      64.8400001 |
|      2 |           3 | 0113       |      29.7200001 |
|      2 |           3 | 0114       |      23.6599998 |
|      2 |           3 | 0115       |      14.0900000 |
|      2 |           3 | 0116       |      19.2950002 |
|      2 |           3 | 0117       |      54.6150002 |
|      2 |           3 | 0118       |       5.6499999 |
|      2 |           3 | 0119       |      11.9650002 |
|      2 |           3 | 0121       |       3.9900001 |
|      2 |           3 | 0122       |      15.2299994 |
|      2 |           3 | 0220       |      25.3499991 |
|      2 |           3 | 0311       |     756.1500005 |
|      2 |           3 | 0312       |     242.4500002 |
|      2 |           3 | 0313       |      16.7500000 |
|      2 |           3 | 0314       |      13.3000000 |
|      2 |           3 | 0321       |      47.1000000 |
|      2 |           3 | 0322       |       1.0500000 |
|      2 |           3 | 0411       |    1200.0000000 |
|      2 |           3 | 0421       |     360.0000000 |
|      2 |           3 | 0441       |      55.5000000 |
|      2 |           3 | 0442       |       7.0000000 |
|      2 |           3 | 0443       |       1.5000000 |
|      2 |           3 | 0451       |     107.0000001 |
|      2 |           3 | 0452       |      14.7500000 |
|      2 |           3 | 0511       |      29.0000000 |
|      2 |           3 | 0512       |       7.0000000 |
|      2 |           3 | 0520       |      24.7500000 |
|      2 |           3 | 0531       |      15.0000000 |
|      2 |           3 | 0532       |       7.0000000 |
|      2 |           3 | 0533       |      10.0000000 |
|      2 |           3 | 0540       |      46.7100000 |
|      2 |           3 | 0552       |       4.3999999 |
|      2 |           3 | 0561       |      71.2749992 |
|      2 |           3 | 0562       |       5.0000000 |
|      2 |           3 | 0611       |       6.9999998 |
|      2 |           3 | 0722       |      20.5000000 |
|      2 |           3 | 0723       |       6.0000000 |
|      2 |           3 | 0732       |      88.1000007 |
|      2 |           3 | 0733       |      95.0000000 |
|      2 |           3 | 0820       |       1.5000000 |
|      2 |           3 | 0830       |     220.8499999 |
|      2 |           3 | 0915       |       3.0000000 |
|      2 |           3 | 0942       |       3.0000000 |
|      2 |           3 | 0953       |       0.5000000 |
|      2 |           3 | 0954       |       0.1000000 |
|      2 |           3 | 1111       |     109.2000031 |
|      2 |           3 | 1211       |      26.4999995 |
|      2 |           3 | 1212       |       3.9000000 |
|      2 |           3 | 1213       |     121.7300003 |
|      2 |           3 | 1231       |       4.0000000 |
|      2 |           3 | 1232       |      13.7500000 |
|      2 |           3 | 1262       |       4.0000000 |
|      2 |           3 | 1270       |       0.3000000 |
|      2 |           3 | 1310       |      18.0000000 |
|      2 |           3 | 1320       |     223.0000000 |
|      2 |           4 | 0111       |     969.3300065 |
|      2 |           4 | 0112       |    1056.8549990 |
|      2 |           4 | 0113       |     544.5189993 |
|      2 |           4 | 0114       |     817.4150011 |
|      2 |           4 | 0115       |     202.8100008 |
|      2 |           4 | 0116       |     416.9500001 |
|      2 |           4 | 0117       |     687.7349981 |
|      2 |           4 | 0118       |     360.5050022 |
|      2 |           4 | 0119       |     319.2199928 |
|      2 |           4 | 0121       |     108.8950000 |
|      2 |           4 | 0122       |     256.4499996 |
|      2 |           4 | 0220       |      70.9000006 |
|      2 |           4 | 0311       |     392.6500005 |
|      2 |           4 | 0312       |    2930.5750019 |
|      2 |           4 | 0313       |     101.9950000 |
|      2 |           4 | 0314       |     212.8000008 |
|      2 |           4 | 0321       |     679.8499999 |
|      2 |           4 | 0322       |      19.9500000 |
|      2 |           4 | 0411       |   12189.9999999 |
|      2 |           4 | 0421       |     930.0000000 |
|      2 |           4 | 0431       |      55.8500000 |
|      2 |           4 | 0432       |      56.5000000 |
|      2 |           4 | 0441       |     378.9999999 |
|      2 |           4 | 0442       |     187.9999999 |
|      2 |           4 | 0443       |       3.0000000 |
|      2 |           4 | 0451       |     577.7500003 |
|      2 |           4 | 0452       |     126.5999996 |
|      2 |           4 | 0453       |       0.5000000 |
|      2 |           4 | 0454       |      23.1699997 |
|      2 |           4 | 0511       |     302.9950001 |
|      2 |           4 | 0512       |     190.2500000 |
|      2 |           4 | 0520       |     720.8500007 |
|      2 |           4 | 0531       |     374.6500000 |
|      2 |           4 | 0532       |     249.7900000 |
|      2 |           4 | 0533       |     156.0000000 |
|      2 |           4 | 0540       |     565.9499990 |
|      2 |           4 | 0552       |    1815.6100012 |
|      2 |           4 | 0561       |    1125.4349991 |
|      2 |           4 | 0562       |      19.8000000 |
|      2 |           4 | 0611       |     187.7450001 |
|      2 |           4 | 0612       |      20.6150000 |
|      2 |           4 | 0613       |     120.1000000 |
|      2 |           4 | 0621       |      32.0000000 |
|      2 |           4 | 0623       |      28.0000000 |
|      2 |           4 | 0624       |      72.0000000 |
|      2 |           4 | 0630       |       0.3500000 |
|      2 |           4 | 0721       |     191.2500000 |
|      2 |           4 | 0722       |    3081.0500263 |
|      2 |           4 | 0723       |     300.1649997 |
|      2 |           4 | 0724       |       6.2500000 |
|      2 |           4 | 0732       |     629.3500027 |
|      2 |           4 | 0733       |     415.0000000 |
|      2 |           4 | 0736       |     108.9999997 |
|      2 |           4 | 0820       |     331.5000001 |
|      2 |           4 | 0830       |    1574.6000063 |
|      2 |           4 | 0911       |     284.0000000 |
|      2 |           4 | 0912       |      24.0000000 |
|      2 |           4 | 0913       |      47.3500000 |
|      2 |           4 | 0914       |      27.1500000 |
|      2 |           4 | 0915       |      15.0000000 |
|      2 |           4 | 0931       |      75.6399998 |
|      2 |           4 | 0932       |      11.4000000 |
|      2 |           4 | 0933       |      12.0000000 |
|      2 |           4 | 0934       |       3.0000000 |
|      2 |           4 | 0941       |      69.7500000 |
|      2 |           4 | 0942       |      36.0000001 |
|      2 |           4 | 0951       |      64.0000000 |
|      2 |           4 | 0952       |       5.3500000 |
|      2 |           4 | 0954       |      69.7599996 |
|      2 |           4 | 1010       |    1244.0000001 |
|      2 |           4 | 1020       |      30.0000000 |
|      2 |           4 | 1050       |      50.0000000 |
|      2 |           4 | 1111       |     628.0999987 |
|      2 |           4 | 1112       |       2.2500001 |
|      2 |           4 | 1211       |     387.7500012 |
|      2 |           4 | 1212       |      29.4800000 |
|      2 |           4 | 1213       |    1750.9999974 |
|      2 |           4 | 1231       |     467.2950010 |
|      2 |           4 | 1232       |     301.6000000 |
|      2 |           4 | 1262       |      73.5000000 |
|      2 |           4 | 1270       |     193.1000001 |
|      2 |           4 | 1310       |     285.4499990 |
|      2 |           4 | 1320       |    4344.3000014 |
|      2 |           5 | 0111       |    2893.3499870 |
|      2 |           5 | 0112       |    2426.0599999 |
|      2 |           5 | 0113       |    1022.7249996 |
|      2 |           5 | 0114       |    1576.2200113 |
|      2 |           5 | 0115       |     419.6250000 |
|      2 |           5 | 0116       |     819.1899998 |
|      2 |           5 | 0117       |    1797.7050017 |
|      2 |           5 | 0118       |     473.9600000 |
|      2 |           5 | 0119       |     726.6899783 |
|      2 |           5 | 0121       |     295.3000012 |
|      2 |           5 | 0122       |     554.8699996 |
|      2 |           5 | 0220       |     260.7499993 |
|      2 |           5 | 0311       |     179.7500000 |
|      2 |           5 | 0312       |    8591.7750050 |
|      2 |           5 | 0313       |     377.5399997 |
|      2 |           5 | 0314       |     363.5999997 |
|      2 |           5 | 0321       |    1517.3300001 |
|      2 |           5 | 0322       |      73.4699996 |
|      2 |           5 | 0411       |   31897.9999999 |
|      2 |           5 | 0421       |     420.0000000 |
|      2 |           5 | 0431       |     233.1800002 |
|      2 |           5 | 0432       |     244.7500001 |
|      2 |           5 | 0441       |     925.9999998 |
|      2 |           5 | 0442       |     560.5000001 |
|      2 |           5 | 0443       |       0.6500000 |
|      2 |           5 | 0451       |    1390.0000001 |
|      2 |           5 | 0452       |     405.9500001 |
|      2 |           5 | 0454       |      44.6199999 |
|      2 |           5 | 0511       |    1090.9050001 |
|      2 |           5 | 0512       |     268.4800001 |
|      2 |           5 | 0520       |    1231.5999993 |
|      2 |           5 | 0531       |     928.4400000 |
|      2 |           5 | 0532       |     488.0100002 |
|      2 |           5 | 0533       |     411.7500000 |
|      2 |           5 | 0540       |    1648.2099981 |
|      2 |           5 | 0551       |       1.3000000 |
|      2 |           5 | 0552       |     414.6899989 |
|      2 |           5 | 0561       |    3097.6999976 |
|      2 |           5 | 0562       |     273.0000001 |
|      2 |           5 | 0611       |     504.5899998 |
|      2 |           5 | 0612       |      40.1000002 |
|      2 |           5 | 0613       |     158.0000000 |
|      2 |           5 | 0621       |     131.0000000 |
|      2 |           5 | 0622       |       3.0000000 |
|      2 |           5 | 0623       |     143.0000000 |
|      2 |           5 | 0624       |     150.0000000 |
|      2 |           5 | 0630       |       8.0000000 |
|      2 |           5 | 0713       |      10.0000000 |
|      2 |           5 | 0721       |     254.7999997 |
|      2 |           5 | 0722       |    2113.0000007 |
|      2 |           5 | 0723       |    1496.5800001 |
|      2 |           5 | 0724       |      21.1499999 |
|      2 |           5 | 0732       |    2086.0999963 |
|      2 |           5 | 0733       |     860.0000000 |
|      2 |           5 | 0736       |      33.0000000 |
|      2 |           5 | 0810       |       4.5000000 |
|      2 |           5 | 0820       |    1756.0900002 |
|      2 |           5 | 0830       |    3317.6299912 |
|      2 |           5 | 0911       |     620.8400000 |
|      2 |           5 | 0912       |      92.9850000 |
|      2 |           5 | 0913       |     787.2000000 |
|      2 |           5 | 0914       |      50.4000000 |
|      2 |           5 | 0915       |      56.0000000 |
|      2 |           5 | 0931       |     311.6100002 |
|      2 |           5 | 0932       |      63.6000000 |
|      2 |           5 | 0933       |      12.2000000 |
|      2 |           5 | 0934       |       1.5000000 |
|      2 |           5 | 0941       |     314.7499997 |
|      2 |           5 | 0942       |      60.1000000 |
|      2 |           5 | 0951       |     107.0999999 |
|      2 |           5 | 0952       |      22.8500000 |
|      2 |           5 | 0953       |       2.5500000 |
|      2 |           5 | 0954       |     482.6600016 |
|      2 |           5 | 0960       |      74.4999999 |
|      2 |           5 | 1010       |     548.5000000 |
|      2 |           5 | 1020       |    1171.0000000 |
|      2 |           5 | 1050       |     142.8000000 |
|      2 |           5 | 1111       |    1599.3800010 |
|      2 |           5 | 1112       |     278.2000007 |
|      2 |           5 | 1211       |     930.0499989 |
|      2 |           5 | 1212       |      76.3400000 |
|      2 |           5 | 1213       |    5164.0559767 |
|      2 |           5 | 1231       |     932.0999999 |
|      2 |           5 | 1232       |     855.0299997 |
|      2 |           5 | 1254       |      21.0000000 |
|      2 |           5 | 1262       |     114.0000000 |
|      2 |           5 | 1270       |    1449.0100001 |
|      2 |           5 | 1310       |     449.2499998 |
|      2 |           5 | 1320       |    6880.7499996 |
|      2 |           6 | 0111       |    2955.0650013 |
|      2 |           6 | 0112       |    4071.7850191 |
|      2 |           6 | 0113       |    1159.7289976 |
|      2 |           6 | 0114       |    1725.4700103 |
|      2 |           6 | 0115       |     435.2400003 |
|      2 |           6 | 0116       |    2681.6000143 |
|      2 |           6 | 0117       |    2240.8849974 |
|      2 |           6 | 0118       |     665.7099983 |
|      2 |           6 | 0119       |    1219.3050030 |
|      2 |           6 | 0121       |    1049.9350136 |
|      2 |           6 | 0122       |     733.2699974 |
|      2 |           6 | 0220       |     133.9700006 |
|      2 |           6 | 0311       |     139.0000000 |
|      2 |           6 | 0312       |    8567.9720042 |
|      2 |           6 | 0313       |     362.4099997 |
|      2 |           6 | 0314       |     311.6999997 |
|      2 |           6 | 0321       |    1704.1949997 |
|      2 |           6 | 0322       |      13.0000001 |
|      2 |           6 | 0411       |   36090.0000001 |
|      2 |           6 | 0421       |     540.0000000 |
|      2 |           6 | 0431       |     172.2999999 |
|      2 |           6 | 0432       |     245.5000000 |
|      2 |           6 | 0441       |     835.4999999 |
|      2 |           6 | 0442       |     477.9999999 |
|      2 |           6 | 0443       |       3.0000000 |
|      2 |           6 | 0451       |    1295.4999998 |
