mysql> SELECT FS_ID,SUM(INCOME1)+SUM(INCOME2)+SUM(INCOME3)+SUM(INCOME4) AS CY ,COUNT(MEM_ID) FROM INCOME GROUP BY FS_ID,MEM_ID;
+-------+-------+---------------+
| FS_ID | CY    | COUNT(MEM_ID) |
|   340 |  7503 |             3 |
|   340 |  3387 |             3 |
|   341 |  6243 |             3 |
|   341 |  3672 |             3 |
|   347 |  2238 |             3 |
|   348 |  2190 |             3 |
|   349 |  2388 |             3 |
|   349 |  2673 |             3 |
|   351 |   966 |             3 |
|   358 |  3264 |             3 |
|   358 |  1614 |             3 |
|   359 |  1290 |             3 |
|   360 |   321 |             3 |
|   360 |   321 |             3 |
|   365 |  3216 |             3 |
|   366 |  2850 |             3 |
|   366 |  3567 |             3 |
|   368 |  1929 |             3 |
|   368 |     0 |             3 |
|   368 |     0 |             3 |
|   369 |   555 |             3 |
|   369 |   225 |             3 |
|   372 |  1809 |             3 |
|   375 |   810 |             3 |
|   375 |   420 |             3 |
|   376 |  6729 |             3 |
|   376 |  2598 |             3 |
|   378 |  8046 |             3 |
|   380 |  2895 |             3 |
|   382 |   642 |             3 |
|   382 |   450 |             3 |
|   382 |   900 |             3 |
|   382 |   321 |             3 |
|   383 |   240 |             3 |
|   383 |   270 |             3 |
|   383 |   210 |             3 |
|   384 |  1290 |             3 |
|   384 |  2163 |             3 |
|   389 |     0 |             3 |
|   389 |  2136 |             3 |
|   389 |     0 |             3 |
|   392 |     0 |             3 |
|   393 |  6417 |             3 |
|   393 |  4635 |             3 |
|   399 |     0 |             3 |
|   400 |  4992 |             3 |
|   400 |     0 |             3 |
|   405 |     0 |             3 |
|   405 |     0 |             3 |
|   409 |  4671 |             3 |
|   409 |     0 |             3 |
|   409 |     0 |             3 |
|   409 |     0 |             3 |
|   409 |     0 |             3 |
|   412 |  7062 |             3 |
|   414 |  4671 |             3 |
|   414 |  2904 |             3 |
|   415 |  4101 |             3 |
|   415 |  4242 |             3 |
|   417 |  4320 |             3 |
|   420 |     0 |             3 |
|   420 |  3300 |             3 |
|   420 |     0 |             3 |
|   422 |  4170 |             3 |
|   423 |  9222 |             3 |
|   423 |     0 |             3 |
|   425 |  7938 |             3 |
|   425 |  3207 |             3 |
|   426 |  9567 |             3 |
|   426 |  4422 |             3 |
|   429 |  1500 |             3 |
|   429 |     0 |             3 |
|   429 |     0 |             3 |
|   430 |  1488 |             3 |
|   432 |  3192 |             3 |
|   434 |  1530 |             3 |
|   436 |   804 |             3 |
|   436 |   678 |             3 |
|   438 |  1050 |             3 |
|   438 |   960 |             3 |
|   438 |  2259 |             3 |
|   442 |  1608 |             3 |
|   442 |   999 |             3 |
|   443 |  1224 |             3 |
|   443 |   870 |             3 |
|   444 |  1998 |             3 |
|   444 |  1128 |             3 |
|   446 |  1305 |             3 |
|   446 |   807 |             3 |
|   447 |  1452 |             3 |
|   449 |  1188 |             3 |
|   449 |  1548 |             3 |
|   449 |     0 |             3 |
|   449 |     0 |             3 |
|   450 |   840 |             3 |
|   450 |  1350 |             3 |
|   450 |  1515 |             3 |
|   452 |     0 |             3 |
|   452 |     0 |             3 |
|   452 |  2730 |             3 |
|   453 |  1614 |             3 |
|   453 |  2034 |             3 |
|   454 |  1446 |             3 |
|   454 |     0 |             3 |
|   454 |  1128 |             3 |
|   455 |  1200 |             3 |
|   455 |  1773 |             3 |
|   456 |  1062 |             3 |
|   456 |  1128 |             3 |
|   456 |   966 |             3 |
|   458 |  1350 |             3 |
|   458 |     0 |             3 |
|   461 |  1290 |             3 |
|   461 |   600 |             3 |
|   462 |  1548 |             3 |
|   463 |  1290 |             3 |
|   463 |   837 |             3 |
|   464 |  1050 |             3 |
|   464 |   837 |             3 |
|   465 |   960 |             3 |
|   465 |  1128 |             3 |
|   465 |  1110 |             3 |
|   466 |   960 |             3 |
|   466 |   995 |             3 |
|   468 |  1548 |             3 |
|   470 |  2580 |             3 |
|   470 |     0 |             3 |
|   470 |     0 |             3 |
|   471 |  2097 |             3 |
|   472 |  1548 |             3 |
|   472 |  1227 |             3 |
|   473 |  2709 |             3 |
|   474 |  1608 |             3 |
|   474 |  1287 |             3 |
|   475 |  1287 |             9 |
|   475 |   807 |             3 |
|   476 |  1290 |             3 |
|   477 |  1932 |             3 |
|   478 |  1500 |             3 |
|   478 |  1935 |             3 |
|   479 |  2097 |             3 |
|   480 |  1500 |             3 |
|   481 |  4197 |             3 |
|   481 |  3225 |             3 |
|   482 |  1515 |             3 |
|   482 |   837 |             3 |
|   482 |     0 |             3 |
|   483 |  1128 |             3 |
|   483 |   966 |             3 |
|   483 |     0 |             3 |
|   484 |  3300 |             3 |
|   484 |     0 |             3 |
|   485 |  1356 |             3 |
|   485 |     0 |             3 |
|   485 |     0 |             3 |
|   487 |  1743 |             3 |
|   487 |   450 |             3 |
|   487 |     0 |             3 |
|   490 |  1350 |             3 |
|   491 |  1611 |             3 |
|   491 |  1485 |             3 |
|   493 |  4833 |             3 |
|   493 |     0 |             3 |
|   494 |  1350 |             3 |
|   495 |  1611 |             3 |
|   496 |  1932 |             3 |
|   496 |     0 |             3 |
|   496 |     0 |             3 |
|   497 |  1128 |             3 |
|   497 |   900 |             3 |
|   500 |  2256 |             3 |
|   501 |  1452 |             3 |
|   501 |  1290 |             3 |
|   507 |  1485 |             3 |
|   507 |  1710 |             3 |
|   508 |   801 |             3 |
|   508 |   678 |             3 |
|   509 |  1677 |             3 |
|   509 |     0 |             3 |
|   509 |     0 |             3 |
|   510 |  1548 |             3 |
|   511 |  1677 |             3 |
|   511 |     0 |             3 |
|   512 |  5400 |             3 |
|   512 |     0 |             3 |
|   512 |  3228 |             3 |
|   513 |  3066 |             3 |
|   513 |  1935 |             3 |
|   514 |  1515 |             3 |
|   514 |     0 |             3 |
|   515 |  2400 |             3 |
|   515 |     0 |             3 |
|   515 |  1290 |             3 |
|   515 |  1257 |             3 |
|   516 |  2838 |             3 |
|   517 |  1290 |             3 |
|   517 |   708 |             3 |
|   518 |  1872 |             3 |
|   518 |  1419 |             3 |
|   519 |  1356 |             3 |
|   520 |  2586 |             3 |
|   521 |  2904 |             3 |
|   523 |  2397 |             3 |
|   523 |  1200 |             3 |
|   525 |  3222 |             3 |
|   525 |  1614 |             3 |
|   528 |  1452 |            12 |
|   528 |  1356 |             3 |
|   529 |  1776 |             3 |
|   529 |     0 |             3 |
|   529 |     0 |             3 |
|   531 |  2268 |             3 |
|   531 |   708 |             3 |
|   532 |  2574 |             3 |
|   533 |   900 |             3 |
|   534 |  2094 |             3 |
|   535 |  1950 |             3 |
|   536 |  2739 |             3 |
|   538 |  2736 |             3 |
|   539 |     0 |             3 |
|   539 |  1614 |             3 |
|   541 |  2901 |             3 |
|   541 |  1743 |             3 |
|   542 |  3840 |             3 |
|   542 |  2250 |             3 |
|   543 |  1935 |             3 |
|   544 |  1350 |             3 |
|   544 |   966 |             3 |
|   545 |  2400 |             3 |
|   545 |  2094 |             3 |
|   546 |  2259 |             3 |
|   546 |     0 |             3 |
|   546 |     0 |             3 |
|   546 |     0 |             3 |
|   547 |  1806 |             3 |
|   547 |     0 |             3 |
|   547 |     0 |             3 |
|   548 |  1209 |             3 |
|   548 |  1806 |             3 |
|   548 |     0 |             3 |
|   548 |     0 |             3 |
|   549 |  1050 |             3 |
|   549 |     0 |             3 |
|   549 |  1128 |             3 |
|   550 |  2259 |             3 |
|   550 |     0 |             3 |
|   550 |     0 |             3 |
|   550 |     0 |             3 |
|   551 |  2097 |             3 |
|   551 |     0 |             3 |
|   551 |     0 |             3 |
|   552 |  1452 |             3 |
|   552 |  1614 |             3 |
|   553 |  1287 |             3 |
|   553 |   966 |             3 |
|   555 |   708 |             3 |
|   555 |   579 |             3 |
|   560 |  2157 |             3 |
|   560 |   966 |             3 |
|   560 |     0 |             3 |
|   560 |     0 |             3 |
|   561 |  1359 |             3 |
|   561 |  1806 |             3 |
|   563 |  4029 |             3 |
|   563 |     0 |             3 |
|   563 |     0 |             3 |
|   563 |     0 |             3 |
|   564 |  2094 |             3 |
|   564 |  1128 |             3 |
|   564 |     0 |             3 |
|   564 |     0 |             3 |
|   565 |  3855 |             3 |
|   565 |  5928 |             3 |
|   565 |  1614 |             3 |
|   565 |     0 |             3 |
|   565 |   807 |             3 |
|   566 |  2187 |             3 |
|   566 |  1140 |             3 |
|   566 |     0 |             3 |
|   567 |  1446 |             3 |
|   567 |  1125 |             3 |
|   568 |   750 |             3 |
|   568 |   420 |             3 |
|   568 |     0 |             3 |
|   571 |  1800 |             3 |
|   572 |  1932 |             3 |
|   573 |  2904 |             3 |
|   573 |     0 |             3 |
|   573 |     0 |             3 |
|   575 |  1611 |             3 |
|   575 |  1128 |             3 |
|   577 |  3864 |             3 |
|   579 |  3867 |             3 |
|   580 |  1374 |             3 |
|   581 |  1762 |             3 |
|   582 |  1740 |             3 |
|   582 |  2193 |             3 |
|   583 |  2064 |             3 |
|   584 |  2739 |             3 |
|   586 |  1125 |             3 |
|   586 |   885 |             3 |
|   586 |   807 |             3 |
|   587 |  3645 |             3 |
|   588 |  2064 |             3 |
|   590 |  1806 |             3 |
|   590 |     0 |             3 |
|   592 |  1872 |             3 |
|   596 |  2624 |             3 |
|   596 |     0 |             3 |
|   596 |     0 |             3 |
|   597 |   999 |             3 |
|   597 |   843 |             3 |
|   598 |  3300 |             3 |
|   598 |  1485 |             3 |
|   599 |  1803 |             3 |
|   599 |  1356 |             3 |
|   599 |  1047 |             3 |
|   601 |  2064 |             3 |
|   601 |   903 |             3 |
|   602 |  3873 |             3 |
|   603 |  2701 |             3 |
|   605 |  2088 |             3 |
|   606 |  2064 |             3 |
|   606 |   966 |             3 |
|   607 |   906 |             3 |
|   607 |  1356 |             3 |
|   608 |  1578 |             3 |
|   609 |  2235 |             3 |
|   610 |  2043 |             3 |
|   611 |  1935 |             3 |
|   612 |  2418 |             3 |
|   612 |  1368 |             3 |
|   614 |  4320 |             3 |
|   615 |  1872 |             3 |
|   615 |   936 |             3 |
|   617 |  3750 |             3 |
|   617 |  1380 |             3 |
|   621 |  2352 |             3 |
|   621 |  2985 |             3 |
|   622 |  1890 |             3 |
|   622 |  1227 |             3 |
|   622 |  1128 |             3 |
|   622 |   966 |             3 |
|   627 |   612 |             3 |
|   627 |   678 |             3 |
|   627 |   483 |             3 |
|   630 |  2250 |             3 |
|   630 |     0 |             3 |
|   630 |     0 |             3 |
|   631 |  1386 |             3 |
|   631 |  2097 |             3 |
|   631 |  1935 |             3 |
|   632 |  1050 |             3 |
|   632 |  2193 |             3 |
|   634 |   600 |             3 |
