Nationality 1

subProduct-code	0:income-class-index	1:income-class-index	2:income-class-index	3:income-class-index	4:income-class-index	5:income-class-index	6:income-class-index	7:income-class-index	8:income-class-index	9:income-class-index	10:income-class-index	11:income-class-index	12:income-class-index	13:income-class-index	14:income-class-index	15:income-class-index
915	0	0	0	3	15	56	99.5	84.25	114.5	111.75	136	151.82	134.5	0	188	4882.500001
922	0	0	0	0	0	0	0	26.5	0	15.25	9	52	96	22.58	140	0
923	0	0	0	0	0	0	1	0	0	2	0	6.5	10.5	4	322	863.1000004
931	0	0	0	0	75.6399998	311.6100002	233.665	806.8649995	731.4299994	712.6899999	803.4399994	927.7849996	878.0450001	634.19	905.5	0
932	0	0	0	0	11.4	63.6	65.349999	249.5499996	173.9200004	87.95	111.265	168.5	387.18	0	59.7	0
933	0	0	0	0	12	12.2	21.45	79.05	143.9299998	58	151.025	91.15	129.2	209.0999999	93.1000002	16576.995
934	0	0	0	0	3	1.5	0	37.8499998	3.9100001	3	105.4	11.25	26.03	53.4300001	66.5	0
935	0	0	0	0	0	0	0	120	3	0	1.25	15	0	0	0	183.31
941	0	0	0	0	69.75	314.7499997	253.9999999	924.9000001	1752.350001	668.6499999	1433.45	1535.500001	893.0000002	1199.6	1418.55	0
942	0	0	3	3	36.0000001	60.1	74.75	180.5	191.6	116.75	180.8100002	217.85	177.81	225	187.65	0
951	0	0	0	0	64	107.0999999	156.8	370.6	564.65	531.4500001	116.55	525.5400004	326.1	0	485.800001	7958.989999
952	0	0	0	0	5.35	22.85	21.65	195.6899983	114.4000008	24.0999995	94.6000021	95.9500006	154.1500003	125.000001	151.8999988	0
953	0	0	0	0.5	0	2.55	0.4	6.1	15.95	11.75	4	20	24.3	13.5	0	3346.35
954	0	0	0	0.1	69.7599996	482.6600016	412.9449984	1027.279999	1455.49	1184.010001	4714.909993	2778.01	1915.064997	2131.910004	983.0249996	0
960	0	0	0	0	0	74.4999999	3.5	73	88	144	85	432.5	132.5	365.7	153	57980.05
1010	0	0	0	0	1244	548.5	1182.15	3036	5541	1980	3022	3652	3973	6565	4859.5	0
1020	0	0	0	0	30	1171	1801.5	4017	6991.5	2165	6750	13233	5076	3019.5	4932	0
1030	0	0	0	0	0	0	0	150	0	20	110	0	96	100	0	0
1040	0	0	0	0	0	0	50	0	8	100	2299	1610	40	1890	130	0
1050	0	0	0	0	50	142.8	30	206.6	1121	1184.05	518	1526.4	648	0	771	62923.05
1111	0	0	6.75	109.2000031	628.0999987	1599.380001	1906.430003	4765.592994	5665.090001	2522.200004	4913.170011	4429.992994	4590.270002	3934.759997	4393.269997	0
1112	0	0	0	0	2.2500001	278.2000007	168.8999988	641.5000052	841.050001	823.0499998	904.4999986	1093.700001	906.8499996	568.450003	596.3999996	0
1120	0	0	0	0	0	0	0	0	0	25	15	405	0	0	400	0
1211	0	0	12.5000001	26.4999995	387.7500012	930.0499989	698.0000003	1753.44	1903.549999	1014.75	1771.549999	1604.450002	1786.200001	1582.1	1556.625	0
1212	0	0	0	3.9	29.48	76.34	90.95	146.8099999	187.9000001	120.74	207.98	143.5500001	179.8250002	223.1500001	213.1399998	0
1213	0	0	56.35	121.7300003	1750.999997	5164.055977	5203.722002	8614.239995	7993.865012	6490.095008	9628.644011	8660.205003	9336.210002	5559.540005	9661.90504	0
1231	0	0	0	4	467.295001	932.0999999	989.2899999	1491.08	1401.960001	1549.12	2088.475	1860.699998	2025.69	1203.649999	1830.95	0
1232	0	0	0	13.75	301.6	855.0299997	877.7099996	1187.475001	1785.985001	1014.515001	1486.8	2107.530001	1661.99	1613.139999	1410.09	0
1251	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0
1253	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0
1254	0	0	0	0	0	21	0	132.5	103	134.5	83	170.5	39	116.5	58	0
1262	0	0	0	4	73.5	114	122.0000002	307.75	243	165.0000001	217.4999997	263	252	174	118.5	6831.1
1270	0	0	0	0.3	193.1000001	1449.01	638.3999998	2618.360003	4734.250001	1536.680001	6453.340004	5207.979999	5180.900003	6089.27	7491.3	0
1310	0	0	6	18	285.449999	449.2499998	688.8200003	2575.649999	1566.149999	1366.75	1944.449999	2370.45	1568.85	2054	826.6000002	0
1320	0	0	0	223	4344.300001	6880.75	6946.500001	10650.2	15645.85	12664.9	14702.3	14825.982	11395.936	13843.21	12151.95	0
