| FS_ID | NAT_ID | membersCount | SUM(INCOME1) | SUM(INCOME2) | SUM(INCOME3) | SUM(INCOME4) | SUM(INCOME5) | SUM(INCOME6) | SUM(INCOME7) | SUM(INCOME8) | INCOMES | CLASS_INCOMES | CLASS_INCOME1 | CLASS_INCOME2 | CLASS_INCOME3 | CLASS_INCOME4 | CLASS_INCOME5 | CLASS_INCOME6 | CLASS_INCOME7 | CLASS_INCOME8 |
+-------+--------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+---------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+---------------+
|  1829 |      1 |            3 |         3315 |            0 |            0 |         1200 |            0 |            0 |            0 |            0 |    4515 |            23 |            17 |             0 |             0 |             6 |             0 |             0 |             0 |             0 |
|  3562 |      1 |            3 |            0 |            0 |            0 |         3000 |         1500 |            0 |            0 |            0 |    4500 |            23 |             0 |             0 |             0 |            15 |             8 |             0 |             0 |             0 |
|   409 |      1 |           15 |         4671 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |    4671 |            24 |            24 |             0 |             0 |             0 |             0 |             0 |             0 |             0 |
|  1438 |      1 |            3 |         4710 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |    4710 |            24 |            24 |             0 |             0 |             0 |             0 |             0 |             0 |             0 |
|  1941 |      1 |            6 |         3567 |            0 |            0 |         1200 |            0 |            0 |            0 |            0 |    4767 |            24 |            18 |             0 |             0 |             6 |             0 |             0 |             0 |             0 |
|  2491 |      1 |            3 |         3744 |            0 |            0 |          960 |            0 |            0 |            0 |            0 |    4704 |            24 |            19 |             0 |             0 |             5 |             0 |             0 |             0 |             0 |
|  4031 |      1 |            3 |         3210 |            0 |            0 |         1500 |            0 |            0 |            0 |            0 |    4710 |            24 |            16 |             0 |             0 |             8 |             0 |             0 |             0 |             0 |
|  4036 |      1 |            6 |         2850 |            0 |            0 |         1950 |            0 |            0 |            0 |            0 |    4800 |            24 |            14 |             0 |             0 |            10 |             0 |             0 |             0 |             0 |
|   103 |      1 |            6 |         6174 |            0 |            0 |            0 |            0 |            0 |            0 |        -1194 |    4980 |            25 |            31 |             0 |             0 |             0 |             0 |             0 |             0 |            -6 |
|   335 |      1 |            3 |            0 |            0 |            0 |         1500 |         3450 |            0 |            0 |            0 |    4950 |            25 |             0 |             0 |             0 |             8 |            17 |             0 |             0 |             0 |
|   400 |      1 |            6 |         4992 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |    4992 |            25 |            25 |             0 |             0 |             0 |             0 |             0 |             0 |             0 |
|  2038 |      1 |            9 |         2784 |            0 |            0 |            0 |         2100 |            0 |            0 |            0 |    4884 |            25 |            14 |             0 |             0 |             0 |            11 |             0 |             0 |             0 |
|  2072 |      1 |            3 |            0 |            0 |            0 |         3000 |         2040 |            0 |            0 |            0 |    5040 |            25 |             0 |             0 |             0 |            15 |            10 |             0 |             0 |             0 |
|  2485 |      1 |            3 |            0 |          750 |            0 |          900 |         3300 |            0 |            0 |            0 |    4950 |            25 |             0 |             4 |             0 |             5 |            17 |             0 |             0 |             0 |
|  2509 |      1 |            3 |         4887 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |    4887 |            25 |            25 |             0 |             0 |             0 |             0 |             0 |             0 |             0 |
|  3493 |      1 |            3 |         4458 |            0 |            0 |            0 |          450 |            0 |            0 |            0 |    4908 |            25 |            23 |             0 |             0 |             0 |             2 |             0 |             0 |             0 |
|  3609 |      1 |            6 |         1782 |            0 |            0 |         1350 |         1860 |            0 |            0 |            0 |    4992 |            25 |             9 |             0 |             0 |             7 |            10 |             0 |             0 |             0 |
|  3633 |      1 |            6 |            0 |            0 |            0 |         1050 |         3837 |            0 |            0 |            0 |    4887 |            25 |             0 |             0 |             0 |             5 |            19 |             0 |             0 |             0 |
|  3719 |      1 |            3 |         2850 |            0 |            0 |         2100 |            0 |            0 |            0 |            0 |    4950 |            25 |            14 |             0 |             0 |            11 |             0 |             0 |             0 |             0 |
